('action_bottom', 'auditory_top')	('action_top', 'auditory_top')	('action_bottom', 'auditory_bottom')	('action_top', 'auditory_bottom')	average_similarity	average_std
Sandmännchen	Taktstock	Leuchtdiode	Liegestütze	0.8048740378662383	0.10496199411007344	
Würger	Schlagstock	Bohrturm	Beschlag	0.804733158335285	0.06114247643508014	
Schreihals	Hämmern	Brustwarze	Widerhaken	0.8036483754018042	0.06753321697920502	
Schrei	Schlag	Natter	Bolzen	0.8036202371766427	0.10672819776106852	
Clown	Schlagstock	Bohrturm	Fausthieb	0.8033576121715492	0.054479507788700726	
Hooligan	Schlagstock	Unterleib	Fausthieb	0.8031887456850296	0.08480649171647162	
Krachen	Streicheln	Lutscher	Kicks	0.8024534160870495	0.04178065292340263	
Hooligan	Fußtritt	Auswuchs	Bolzen	0.8018949443196656	0.0739647449178776	
Protestler	Fußtritt	Unterleib	Widerhaken	0.8014505682313815	0.0828976509023642	
Clown	Motorsäge	Turban	Strick	0.801177737556836	0.10558283213214086	
Monolog	Hämmern	Klitoris	Bolzen	0.800532747866301	0.06492692934909829	
Plagiator	Hämmern	Gürtelrose	Widerhaken	0.8003191903710688	0.13720480827642223	
Krachen	Anschlag	Kaliber	Bolzen	0.8000774190294395	0.03393385498440028	
Ohrenzeuge	Motorsäge	Pulsader	Fausthieb	0.7999767024526823	0.10276547292440837	
Clown	Schlagstock	Felsbrocken	Spitzhacke	0.7995787773943062	0.04532635918770151	
Clown	Rohrstock	Wasserkopf	Fingernagel	0.7988038455821732	0.07206151873853825	
Clown	Schlagstock	Schal	Messer	0.7975486417517764	0.08601680283362975	
Besetzer	Hämmern	Klitoris	Abrollen	0.7964801389219266	0.09369417419553817	
Vogel	Tanz	Fackel	Ball	0.7962406346373919	0.08229477751281623	
Vorfall	Anschlag	Pentagon	Abrollen	0.7956336548749173	0.15874831507517323	
Zwischenfall	Anschlag	Hoden	Bolzen	0.7953694764736089	0.07395346237485248	
Beitrag	Tanz	Flügel	Einrad	0.7952863022872908	0.11627407097963767	
Clown	Motorsäge	Turban	Messer	0.7951985692311029	0.09259246901677716	
Clown	Schlagstock	Skelett	Strick	0.7938605543115101	0.048881362981040594	
Beitrag	Tanz	Antlitz	Accessoire	0.7932650201446609	0.09074625752275299	
Aufschrei	Hämmern	Totenkopf	Bolzen	0.7928143499546266	0.1201085596990098	
Amokläufer	Schlagstock	Totenkopf	Widerhaken	0.7922215951899503	0.050300524998535184	
Clown	Schlagstock	Pulsader	Fausthieb	0.7922133850315451	0.06252506508473626	
Vorfall	Anschlag	Blase	Bolzen	0.7915619227397434	0.08667865258066734	
Amokläufer	Fußtritt	Totenschädel	Fausthieb	0.7914020506699257	0.09790373769437569	
Würger	Rohrstock	Pfahl	Lidschlag	0.7911917262467346	0.0782500274452601	
Songtext	Klöppel	Rille	Bolzen	0.7905797014909783	0.07586084516964893	
Ohrenzeuge	Fußtritt	Tentakel	Lidschlag	0.7902906518473278	0.07911910075320094	
Funkgerät	Schlagwerk	Brustwehr	Karabiner	0.7901217143750573	0.09145555822170894	
Wärter	Hämmern	Galgen	Abrollen	0.7900302459524727	0.12033761973736691	
Hooligan	Schlagstock	Totenschädel	Fingernagel	0.7898749047138677	0.07363826213366496	
Beitrag	Tanz	Diamant	Knobeln	0.7883982801874082	0.04740302820085882	
Protestler	Anschlag	Auswuchs	Abrollen	0.7881812090658845	0.12599216343808417	
Ohrenzeuge	Rohrstock	Tragfläche	Fausthieb	0.7878169160229689	0.07892078880818182	
Krachen	Streicheln	Stachel	Widerhaken	0.7875988714409042	0.14037186880474664	
Besetzer	Hämmern	Vorhaut	Abrollen	0.7870582180245206	0.053053630357208253	
Klingelton	Klatschen	Lutscher	Steigeisen	0.7858014429801364	0.09002740027335916	
Würger	Fußtritt	Faultier	Fausthieb	0.7854575606046844	0.06994518005870147	
Schreihals	Fußtritt	Zecke	Widerhaken	0.7848174429439139	0.10918457707447861	
Schreihals	Fußtritt	Augenbraue	Ellbogen	0.7844182488160545	0.11994583444651111	
Aufzug	Motorsäge	Fackel	Hacke	0.7842053499528895	0.10466959553066948	
Fernsprecher	Klaviatur	Drehgestell	Keilriemen	0.7841357912984702	0.1008988071613458	
Ohrenzeuge	Rohrstock	Wurmfortsatz	Lidschlag	0.7840965377448349	0.06734836795804774	
Aufschrei	Hämmern	Ringbahn	Ellbogen	0.7839272420604272	0.0727327277176419	
Megaphon	Schlag	Paß	Haken	0.7837081986499577	0.07046934242610771	
Würger	Fußtritt	Tragfläche	Lidschlag	0.7829501867617189	0.09795437493672239	
Plagiator	Fußtritt	Haubitze	Bolzen	0.7825316054938355	0.13001048148513403	
Songtext	Schlagwerk	Herzkammer	Keilriemen	0.7824338212816735	0.08811646800365783	
Clown	Rohrstock	Tragfläche	Fußknöchel	0.7822704580677776	0.20702092171966688	
Beitrag	Tanz	Ikone	Knobeln	0.7813742716543919	0.042606544378522015	
Pauker	Hämmern	Bluter	Bolzen	0.7808705971617611	0.178994178246809	
Clown	Motorsäge	Pulsader	Spitzhacke	0.7807065550064568	0.12682521233160188	
Clown	Schlagstock	Nachthemd	Strickjacke	0.7802962234503056	0.11899640139491181	
Extremist	Hämmern	Gürtelrose	Widerhaken	0.7802513607301611	0.1346461397334582	
Aufzug	Tanz	Amulett	Gurt	0.7795739845253165	0.04210251286487063	
Aufzug	Klöppel	Spalt	Knie	0.7793086333590565	0.08800517750342239	
Brecher	Anschlag	Galgen	Abrollen	0.7791985017738184	0.10381523019459019	
Protestler	Schlag	Schandfleck	Widerhaken	0.7789300823445657	0.04192142753252459	
Kanzlerin	Vibrieren	Starterin	Befestigen	0.7785381486282286	0.16373185534661494	
Clown	Rohrstock	Pulsader	Spitzhacke	0.7779903199375959	0.08025295045551212	
Ohrenzeuge	Rohrstock	Hämatom	Fausthieb	0.7777653680290243	0.06823367174533572	
Clown	Schlag	Bauch	Knie	0.7774742419674706	0.07973483361799186	
Grunzen	Hämmern	Harnröhre	Stichsäge	0.7772552868533924	0.07224289339841002	
Plagiator	Fußtritt	Wurmfortsatz	Lidschlag	0.777031274486269	0.10435272562937205	
Bauchredner	Rohrstock	Tragfläche	Fußknöchel	0.7769619038036631	0.12361681818055603	
Clown	Schlagstock	Pulsader	Beschlag	0.7767647106340858	0.13125081301431454	
Aufschrei	Fußtritt	Mutterleib	Karabiner	0.7763834215752347	0.11782176533478615	
Pfiff	Tanz	Casino	Kicks	0.776373459029761	0.05314173360147916	
Protestler	Klöppel	Galgen	Bolzen	0.7763262617029536	0.06384788645193357	
Sprachrohr	Klaviatur	Drehgestell	Werkstück	0.7760875857295274	0.09424296304164645	
Clown	Rohrstock	Pfahl	Strick	0.7757120194913241	0.0409380634214661	
Vorfall	Anschlag	Pentagon	Abrollen	0.7754523106575602	0.10310872106694059	
Hahnenschrei	Nachschlag	Sindelfinger	Widerhaken	0.7754276724361998	0.0785883721965505	
Brecher	Anschlag	Galgen	Bolzen	0.7753721593876772	0.12388040928459185	
Protestler	Hämmern	Rachenraum	Bolzen	0.7752349795568421	0.08128359758086517	
Aufzug	Schlag	Kaliber	Bolzen	0.7751280406722673	0.07128274879313198	
Klingelton	Nachschlag	Lutscher	Kicks	0.7747259234685177	0.10623716827618189	
Clown	Schlagstock	Tatze	Spitzhacke	0.7746533319621595	0.1020877085448639	
Ohrenzeuge	Schlagstock	Augenlid	Fußknöchel	0.7743826403177861	0.10703321869837586	
Sandmännchen	Taktstock	Fontäne	Einrad	0.774129482377841	0.07978679220079582	
Klingelton	Tanz	Talisman	Kicks	0.7740742182679435	0.06538577513043735	
Anführer	Anschlag	Hexenschuß	Ellbogen	0.7740582182007197	0.08161562178278652	
Clown	Schlagstock	Wespe	Strick	0.7736307406268127	0.0971047577082074	
Vogel	Motorsäge	Nachthemd	Handschuh	0.7732098266090484	0.1178601652368816	
Schrei	Anschlag	Visier	Haken	0.7731008799530459	0.05476113846573292	
Aufschrei	Schlag	Kamm	Griff	0.7721985715768707	0.07403555551097235	
Trommler	Klöppel	Spalt	Karabiner	0.7721122018906628	0.08279543967207627	
Schrei	Fußtritt	Schnauze	Widerhaken	0.771998339102893	0.09788455226789498	
Musikbox	Taktstock	Beiboot	Schraubstock	0.7714060122484417	0.1332205186987664	
Aufzug	Schlag	Fackel	Hacke	0.7713927054255277	0.09621093551981996	
Aufzug	Tanz	Fackel	Knobeln	0.7707961672957916	0.02810451509928032	
Brecher	Hämmern	Rachenraum	Bolzen	0.7705853570765452	0.09736936484177047	
Schreihals	Anschlag	Buckel	Ellbogen	0.7702181212119816	0.09818642104884727	
Anführer	Anschlag	Tunnel	Bolzen	0.7700581395380409	0.14413885800596854	
Ventil	Klopfen	Herzkammer	Riemen	0.7700274561306429	0.12128204556506454	
Beitrag	Tanz	Flügel	Möbel	0.7696592628665663	0.12003114964605563	
Metronom	Taktstock	Kotflügel	Liegestütze	0.7694829479477296	0.16385806178045922	
Schmierfink	Anschlag	Totenkopf	Widerhaken	0.7694474507555754	0.15248292450735737	
Brecher	Fußtritt	Unterleib	Karabiner	0.7689538608860275	0.12146295362692368	
Schreihals	Schlag	Nacken	Bolzen	0.7687570688722243	0.06521875681283004	
Brecher	Schlagstock	Schlagader	Lidschlag	0.7686508933648449	0.04830921421685935	
Protestler	Schlagstock	Brandmauer	Fausthieb	0.7684591456611712	0.11945462560186491	
Hooligan	Motorsäge	Tentakel	Widerhaken	0.7683029379255837	0.0356173105022808	
Autokolonne	Rohrstock	Felsblock	Fingernagel	0.7679982223093891	0.08540777163211842	
Augenzeuge	Anschlag	Pentagon	Abrollen	0.7679108905120854	0.13772226046104208	
Schmierfink	Hämmern	Totenkopf	Widerhaken	0.7679093704566021	0.10365382846863787	
Megaphon	Motorsäge	Bohrturm	Aufhängen	0.767563167961082	0.11480829259784447	
Amokläufer	Fußtritt	Kadaver	Fausthieb	0.7670384122700943	0.09461180512391547	
Gezwitscher	Vibrieren	Rauhfaser	Schrubber	0.7665342331562178	0.11418900255073479	
Besetzer	Hämmern	Geißel	Ellbogen	0.7665336342572675	0.08608572816189565	
Klingelton	Vibrieren	Wannenbad	Steigeisen	0.7664278875928611	0.17064239073528106	
Protestler	Rohrstock	Totenschädel	Lidschlag	0.7659942119353919	0.07504999535715176	
Ventil	Klopfen	Blei	Riemen	0.7652784005507361	0.17113471484168932	
Sirene	Schlag	Bauch	Karabiner	0.7651553546841218	0.06923259921079376	
Piepser	Klopfen	Blei	Schrubber	0.7650577458877851	0.12336302741126973	
Clown	Motorsäge	Turban	Hantel	0.7649852984001045	0.12024828983045803	
Bombenleger	Motorsäge	Schandfleck	Aufhängen	0.7647350316258019	0.09215671868538414	
Ohrenzeuge	Schlagstock	Wurmfortsatz	Fausthieb	0.7645055174520919	0.08691633631272677	
Sprachrohr	Klaviatur	Radstand	Werkstück	0.764448569956499	0.129775115690882	
Besetzer	Hämmern	Phalanx	Abrollen	0.7643936898152733	0.06418573970149731	
Musikbox	Klöppel	Brustwehr	Fußgelenk	0.7641150144944103	0.08607455195828677	
Ohrenzeuge	Anschlag	Tentakel	Fausthieb	0.7640765925671817	0.11535501224876468	
Bauchredner	Fußtritt	Nasenflügel	Lidschlag	0.7637463071448405	0.06094514416457217	
Ohr	Schlag	Brust	Daumen	0.7635664469500018	0.08306783105481647	
Schreihals	Vibrieren	Hexenschuß	Widerhaken	0.762778724092939	0.03296420317501016	
Clown	Schlagstock	Wasserkopf	Schnürsenkel	0.7624626757499319	0.1673622310600292	
Hooligan	Hämmern	Vulva	Fausthieb	0.7624055494739403	0.0799972489443412	
Wärter	Anschlag	Verlies	Stichsäge	0.7621049815297939	0.12616061144844365	
Extremist	Anschlag	Klitoris	Ellbogen	0.7616891366039727	0.09148445764767969	
Clown	Schlagstock	Ballon	Ball	0.7612965615891395	0.092355267443245	
Besetzer	Anschlag	Kartell	Bolzen	0.7608881006897897	0.1459390923195036	
Brecher	Rohrstock	Visier	Bolzen	0.7605097841557873	0.07159970885767246	
Clown	Motorsäge	Fußspur	Zaumzeug	0.7602325563580408	0.12397954294017445	
Schmierfink	Fußtritt	Schleppnetz	Stichsäge	0.7597556591367325	0.09892745906551763	
Musikbox	Rohrstock	Beiboot	Zaumzeug	0.7595891422656934	0.07719452434973821	
Sprechchor	Klaviatur	Tragwerk	Riemen	0.7594958780318217	0.09215575692118678	
Ohrenzeuge	Rohrstock	Felsblock	Fußknöchel	0.7594597220233092	0.08621236685954467	
Bombenleger	Fußtritt	Totenkopf	Aufhängen	0.7594301550527699	0.09744825494080729	
Beitrag	Tanz	Blüte	Möbel	0.7586407376481095	0.02404826309569587	
Brecher	Fußtritt	Auswuchs	Widerhaken	0.7582865394705692	0.09725014535526881	
Extremist	Fußtritt	Pentagon	Bolzen	0.7580932964414892	0.12690757058285007	
Hooligan	Fußtritt	Schädel	Säbel	0.758031617488791	0.1140392804623598	
Hooligan	Klöppel	Tentakel	Karabiner	0.7579412326025161	0.06940999505961425	
Amokläufer	Anschlag	Feuerball	Widerhaken	0.7579177628073163	0.04699044928702287	
Megaphon	Fußtritt	Tropf	Bolzen	0.7574193965437782	0.16299169178276746	
Brecher	Motorsäge	Bohrturm	Lidschlag	0.7569108136305537	0.11040085918348436	
Amokläufer	Rohrstock	Unterleib	Ellbogen	0.7567274383817129	0.13190368329346497	
Besetzer	Fußtritt	Ringbahn	Abrollen	0.7558457361485639	0.061629271665166296	
Clown	Rohrstock	Tatze	Spitzhacke	0.7556985964858866	0.09464855290329122	
Zwischenfall	Anschlag	Sonnenbrand	Widerhaken	0.7550544007100729	0.09811657748145737	
Bauchredner	Rohrstock	Pulsader	Beschlag	0.7549864158574161	0.06696671246443947	
Saal	Tanz	Jeans	Ball	0.7547224301927228	0.05347139230255442	
Spaßmacher	Fußtritt	Gefechtskopf	Widerhaken	0.754408286532637	0.059229312454182254	
Schreihals	Schlagstock	Kaliber	Karabiner	0.7534762851010265	0.06854986694541125	
Radio	Tanz	Neon	Einrad	0.7533029142590775	0.027400777582008092	
Ohr	Schlag	Brust	Griff	0.7530542928163454	0.08541168087396048	
Bauchredner	Motorsäge	Wasserkopf	Beschlag	0.7527718337743554	0.12047196385357738	
Videotext	Klaviatur	Brustwehr	Keilriemen	0.7527351963427015	0.0053622209332110345	
Bauchredner	Motorsäge	Bohrturm	Spitzhacke	0.7526300277402034	0.20710055037949532	
Beitrag	Tanz	Krone	Einrad	0.752453296591994	0.08151044584633987	
Musikbox	Taktstock	Reflektor	Handgriff	0.7524290478394313	0.18174542632342405	
Pauke	Klopfen	Kamm	Bolzen	0.7519454198197048	0.1300534669551376	
Clown	Schlagstock	Schal	Ballen	0.7519328877597297	0.11854397019088603	
Aufschrei	Klopfen	Superman	Aufhängen	0.7512966614470512	0.12756294559188414	
Schreihals	Schlagwerk	Buckel	Bolzen	0.7512865188314577	0.07540264342658695	
Schrei	Schlagstock	Kaliber	Bolzen	0.7509594952199398	0.06873049913241104	
Sandmännchen	Taktstock	Seepferdchen	Einrad	0.7509249736288263	0.11769325038658537	
Schrei	Schlagstock	Nacken	Knie	0.7501910621825335	0.12028948916816755	
Ohrenzeuge	Rohrstock	Unterleib	Karabiner	0.7498318396878356	0.0956370708781011	
Moderatorin	Tanz	Köpfchen	Anfertigen	0.7497647927003809	0.059890076526745786	
Clown	Schlag	Brust	Knie	0.7495755937085494	0.14422900578867295	
Schreihals	Vibrieren	Gabelung	Stichsäge	0.7495408135067159	0.014985950214812794	
Hooligan	Schlagstock	Tentakel	Widerhaken	0.7495142667574507	0.1149506551075505	
Kompressor	Nachschlag	Gefechtskopf	Steigeisen	0.7492363341315517	0.09399914332632667	
Pfiff	Klopfen	Paß	Kicks	0.7491984315116217	0.1618424521832719	
Aufschrei	Anschlag	Superman	Ellbogen	0.749196951703695	0.09973492243412779	
Songtext	Taktstock	Rosenstock	Drehbank	0.7491112180017693	0.16088351484774452	
Clown	Schlagstock	Turban	Handschuh	0.7490824990642801	0.11141321069059822	
Schrei	Schlagstock	Bauch	Haken	0.7489426856118345	0.06436101318502702	
Megaphon	Klöppel	Felsblock	Handgelenk	0.7485089101086585	0.08257411591835845	
Pfiff	Tanz	Talisman	Kicks	0.7477012345614802	0.1612374249808671	
Sandmännchen	Vibrieren	Treppchen	Montieren	0.7476330826017317	0.13339534274158082	
Protestler	Schlagstock	Hämatom	Lidschlag	0.7475304732097842	0.07350656526834562	
Ohrenzeuge	Schlagstock	Augenlid	Fußknöchel	0.7475282791647727	0.18729080934505513	
Brecher	Anschlag	Rachenraum	Widerhaken	0.747446758005965	0.10704053596152258	
Bauchredner	Rohrstock	Bohrturm	Spitzhacke	0.7466949735227174	0.0911567824960356	
Musikbox	Motorsäge	Kofferraum	Schraubstock	0.7464620718083692	0.10394768950563923	
Würger	Rohrstock	Unterleib	Lidschlag	0.7464561634292192	0.08047328220444099	
Schrei	Anschlag	Nacken	Karabiner	0.7464211587874593	0.11144346517366019	
Hooligan	Schlagstock	Phallus	Karabiner	0.7463892573678628	0.08968767469877649	
Videotext	Schlagwerk	Zugbrücke	Paddel	0.7463480642231604	0.15571576687307917	
Feuerwerker	Tanz	Fototermin	Anfertigen	0.7461440707760154	0.16303177758858084	
Protestler	Rohrstock	Wurmfortsatz	Karabiner	0.7460529325508315	0.09645635351265007	
Megaphon	Schlag	Tropf	Hacke	0.7460032672061034	0.09108635548638792	
Reporter	Rohrstock	Schädel	Messer	0.7458888676444716	0.07334570789983672	
Amokläufer	Hämmern	Unterleib	Bolzen	0.7456898546201979	0.09985739477702775	
Clown	Schlagstock	Wespe	Fausthieb	0.7456419794351378	0.13202604471505222	
Krachen	Klatschen	Hexenschuß	Aufhängen	0.7454890177254426	0.13680621805573928	
Aufzug	Schlag	Brust	Knie	0.7449123077016543	0.1594935602312842	
Hahnenschrei	Klatschen	Natter	Karabiner	0.7448440364851868	0.10963787653541651	
Ohrenzeuge	Rohrstock	Schlagader	Fausthieb	0.7443162396849338	0.040383528483200606	
Piepser	Schlagwerk	Gefechtskopf	Handgelenk	0.7436529468898803	0.11906568804369147	
Pfiff	Tanz	Neon	Kicks	0.7431181340311194	0.0708932886891897	
Hooligan	Anschlag	Vulva	Abrollen	0.7430945658486307	0.09518810408573254	
Würger	Rohrstock	Augenlid	Unterarm	0.742853168554707	0.10743507889875552	
Vogel	Motorsäge	Helm	Rucksack	0.7426276504912884	0.11886401772574699	
Jingle	Nachschlag	Stulle	Einrad	0.7426125074669331	0.09709619889009216	
Aufzug	Tanz	Spalt	Ball	0.7422677625960805	0.0993573247947824	
Amokläufer	Anschlag	Unterleib	Aufhängen	0.7422063420534116	0.09543019797208098	
Plagiator	Anschlag	Harnröhre	Karabiner	0.742197927751719	0.12249382932263479	
Spaßmacher	Vibrieren	Rauhfaser	Riemen	0.7417106218555934	0.16349778805243004	
Musikant	Klopfen	Paß	Karabiner	0.7415388546899685	0.12293939953688648	
Aufschrei	Schlag	Visier	Ellbogen	0.7413832120360859	0.043234417960530215	
Anführer	Hämmern	Pentagon	Abrollen	0.741250737417318	0.13027400519441398	
Protestler	Klöppel	Brustwarze	Ellbogen	0.7411550651737683	0.1120633730497695	
Brecher	Schlag	Brustwarze	Karabiner	0.7411261699717251	0.0705418934915512	
Pfiff	Tanz	Paß	Kicks	0.7410783032376137	0.09280033268885056	
Musikbox	Taktstock	Heckklappe	Webstuhl	0.7409591296574369	0.17982638220018288	
Reporter	Schlagstock	Mauer	Messer	0.7397628783330233	0.16524159439258307	
Schmierfink	Rohrstock	Glimmstengel	Fingernagel	0.7397574503222831	0.05930931271280561	
Clown	Rohrstock	Wasserkopf	Fingernagel	0.739730730443677	0.2167804141947853	
Zwischenfall	Anschlag	Nasenbluten	Widerhaken	0.7395163599273066	0.11158832633270573	
Plagiator	Anschlag	Gefechtskopf	Karabiner	0.7393941089577707	0.05910916366484889	
Schreihals	Rohrstock	Galgen	Karabiner	0.7386736106691796	0.08244443095676872	
Ohr	Klopfen	Ast	Daumen	0.7383620701658001	0.1050816093210804	
Protestler	Schlagstock	Phallus	Aufhängen	0.7383561469830449	0.09562064585053136	
Hooligan	Klöppel	Augenlid	Lidschlag	0.737682909711132	0.10549530618801392	
Extremist	Vibrieren	Standarte	Abrollen	0.7376607341164777	0.06430981789313027	
Lied	Tanz	Pool	Accessoire	0.7372997264148813	0.019208909200099787	
Sirene	Tanz	Joker	Kicks	0.7370711120917637	0.07406122182671462	
Würger	Rohrstock	Felsbrocken	Spitzhacke	0.7370387189412785	0.19748380851118885	
Aufschrei	Fußtritt	Kaliber	Karabiner	0.7368832824468657	0.0422396130424314	
Feuerwerker	Tanz	Bikini	Kicks	0.736687925729067	0.0230033816740558	
Hooligan	Fußtritt	Buckel	Bolzen	0.7364390897247532	0.10344438392164074	
Ohr	Taktstock	Deck	Gurt	0.7360764111103054	0.16033503828549628	
Plagiator	Rohrstock	Brustwarze	Karabiner	0.7359561949340795	0.0725421914729822	
Aufzug	Schlag	Spiegel	Ball	0.7358638348770526	0.10333190463678707	
Saal	Tanz	Palast	Ball	0.7358443052061737	0.13286503019051024	
Pauke	Klöppel	Brustwarze	Riemen	0.7356954164718982	0.09204441716132052	
Hahnenschrei	Nachschlag	Wannenbad	Befestigen	0.7356091077262593	0.0960108098125424	
Sandmännchen	Taktstock	Rosenstock	Schreibfeder	0.7355884219362706	0.15023047097748035	
Sandmännchen	Vibrieren	Treppchen	Anfertigen	0.7354800340621407	0.1432350470844794	
Gezwitscher	Schlagwerk	Birkenstock	Schrubber	0.7354025950060677	0.034081640741496486	
Bombenleger	Hämmern	Nasenbluten	Fausthieb	0.7353142036207366	0.10794076414467287	
Wärter	Hämmern	Galgen	Stichsäge	0.7352072869328309	0.1350021809823609	
Beitrag	Tanz	Edelstein	Anfertigen	0.7348114642541917	0.14032373695576644	
Ohrenzeuge	Schlagstock	Tragfläche	Fußgelenk	0.7346264913629827	0.09190711510243585	
Feuerwerker	Vibrieren	Fototermin	Aufhängen	0.7343081502558513	0.1855704152419615	
Brecher	Rohrstock	Unterleib	Karabiner	0.73426385638769	0.10821037576551476	
Sirene	Klatschen	Köpfchen	Kicks	0.734105054215458	0.10639604106649402	
Mischpult	Klaviatur	Birkenstock	Paddel	0.7340940001954278	0.09260506641327204	
Bombenleger	Anschlag	Schandfleck	Widerhaken	0.7340454344261754	0.16920100286106848	
Amokläufer	Rohrstock	Visier	Karabiner	0.733916916727694	0.06981477692797115	
Funktionär	Klaviatur	Altarraum	Werkstück	0.7337966682227265	0.08755520535599061	
Würger	Schlagstock	Hämatom	Bolzen	0.7336406175476361	0.07841906450936659	
Spaßmacher	Klatschen	Hexenschuß	Widerhaken	0.7336046517448856	0.14443699346362246	
Amokläufer	Schlagstock	Maisfeld	Fausthieb	0.7331924956432875	0.12305419011735472	
Clown	Rohrstock	Kapuze	Strick	0.7330025409100932	0.12652895795191998	
Vogel	Taktstock	Mantel	Schnur	0.7328643707188411	0.14527731558112073	
Telegraf	Klaviatur	Dampfboot	Paddel	0.732585730971838	0.12077569624361735	
Ohrenzeuge	Anschlag	Hämatom	Widerhaken	0.7321975698956811	0.09543858542086328	
Holzbläser	Hämmern	Herzkammer	Befestigung	0.7321284037426752	0.11664131429820085	
Clown	Schlag	Visier	Haken	0.7320738182594474	0.15088134182465587	
Würger	Fußtritt	Hämatom	Säbel	0.7319391912754692	0.08893225106734291	
Liederhalle	Vibrieren	Köpfchen	Montieren	0.7316581010662525	0.1710039156425646	
Protestler	Fußtritt	Brandmauer	Aufhängen	0.7314740442659101	0.07172437546345967	
Hooligan	Fußtritt	Wurmfortsatz	Karabiner	0.7314436876608547	0.08060717563662809	
