Table 1
word	Final_rating															
Turmfalke	bad															
Igel	bad															
Lehrer	sound															
Berserker	bad															
Sperling	good															
Park	good															
Frosch	good															
Wasserfall	good															
Bankier	bad															
Schmierer	bad															
Pkw	bad															
Moderatorin	sound															
Ton	sound															
Transistor	good															
Minister	bad															
Schwur	bad															
Tänzchen	bad															
Besucherin	bad															
Kanzlerin	bad															
Kabine	bad															
Kranich	bad															
Interpol	bad															
Interpret	bad															
Ohrwurm	sound															
Straße	mid															
Showmaster	bad															
Fernsehgerät	bad															
Lied	sound															
Feuerwerker	bad															
Pampa	bad															
Helikopter	good															
Zauberer	bad															
Paragraf	bad															
Freund	bad															
Kolonne	bad															
Mauersegler	bad															
Fluggast	bad															
Sirene	good															
Nachbar	bad															
Lastwagen	mid															
Deserteur	bad															
Passagier	bad															
Augenzeuge	bad															
Kamerad	bad															
Tohuwabohu	bad															
Spielort	bad															
Liederbuch	bad															
Schafstall	bad															
Heide	bad															
Kneipe	bad															
Raubtier	bad															
Ente	good															
Matrose	bad															
Trinkspruch	sound															
Staatsmann	bad															
Auditorium	bad															
AT&T	bad															
Osterglocke	bad															
Wetterfrosch	bad															
Schreiberin	bad															
Wicht	bad															
Beter	bad															
Wirt	bad															
Anna	bad															
Violinist	sound															
Boy	bad															
Ferkel	good															
Werbespot	sound															
Saal	bad															
Stadion	good															
Web	bad															
Monolog	sound															
Code	bad															
Mafioso	bad															
Autorin	bad															
Slogan	sound															
Schimpanse	good															
Häscher	bad															
Auszug	bad															
Gewehrfeuer	sound															
Auerochse	bad															
Opa	bad															
Fahrer	bad															
Switch	bad															
Pilot	sound															
Landsknecht	bad															
Rancher	bad															
Psalmist	bad															
Säuger	bad															
Schulkamerad	bad															
Säugetier	bad															
Werbetafel	bad															
Songtext	bad															
Verfasser	bad															
Schrei	sound															
Mama	bad															
Fiedel	bad															
Trauergast	bad															
Terrorist	bad															
Ohrenschmalz	bad															
Drohn	bad															
Leitartikler	bad															
Busch	bad															
Grunzen	sound															
Eichelhäher	bad															
Kleinbus	mid															
Türe	bad															
Clown	bad															
Elch	good															
Hooligan	sound															
Lüftchen	bad															
Mäuschen	bad															
Säger	sound															
Arena	bad															
Zeugin	bad															
Bühnenautor	bad															
Hahn	good															
Sandmännchen	bad															
Ferrari	bad															
Aufseher	sound															
Schacht	bad															
Bruder	bad															
Waidmann	bad															
Supertanker	bad															
Wiedehopf	bad															
Milizionär	bad															
Projektor	bad															
Alphabet	bad															
Journalist	sound															
Meilenstein	bad															
Version	bad															
Gezwitscher	sound															
Wahrzeichen	bad															
Veteran	bad															
Truthahn	mid															
Autograph	bad															
Blues	bad															
Wirbelwind	bad															
Kennerin	bad															
Taucher	bad															
Otter	bad															
Maulwurf	bad															
Buchautor	bad															
Schluck	bad															
Wachtel	bad															
Schüler	sound															
Reporter	sound															
Tenor	sound															
Köter	bad															
