Table 1
word	Final_rating															
Bienenstock	bad															
Holzkohle	bad															
Rechen	bad															
Absprung	bad															
Zehennagel	bad															
Erhängen	bad															
Bündel	bad															
Krempe	bad															
Absaugen	bad															
Anbau	bad															
Hilfsmittel	bad															
Gestell	bad															
Jogginghose	bad															
Verschlucken	bad															
Tätowierung	bad															
Arm	bad															
Fältchen	bad															
Maniküre	bad															
Gliedmaß	bad															
Ebenholz	bad															
Befeuchtung	bad															
Schienbein	bad															
Fingernagel	bad															
Fotokopie	bad															
Wachs	bad															
Standfuß	bad															
Layout	bad															
Möbelstück	mid															
Feldstecher	bad															
Ball	bad															
Schrubber	bad															
Gefriertruhe	bad															
Bodybuilding	bad															
Kautschuk	bad															
Öffnung	bad															
Halterung	bad															
Montieren	bad															
Waffenrock	bad															
Wäsche	bad															
Tüll	bad															
Belag	bad															
Nabe	bad															
Verpuppung	bad															
Schnittlauch	bad															
Fladen	bad															
Spargel	bad															
Höhlung	bad															
Satteltasche	bad															
Handabdruck	bad															
Bücherregal	mid															
Augenbinde	bad															
Knauf	good															
Revers	bad															
Gamasche	bad															
Bündchen	bad															
Felge	bad															
Daumen	bad															
Waschen	bad															
Manschette	bad															
Erbstück	bad															
Stückchen	bad															
Schaumstoff	bad															
Schnittgut	bad															
Höschen	bad															
Geleise	bad															
Erntegut	bad															
Eiszapfen	bad															
Klumpen	bad															
Sanduhr	bad															
Meniskus	bad															
Hauswand	bad															
Briefchen	bad															
Brokat	bad															
Beschlag	bad															
Pickel	bad															
Knöchel	bad															
Jute	bad															
Eisbahn	bad															
Kleben	bad															
Tafelsilber	bad															
Knie	bad															
Bodenbelag	bad															
Plastik	bad															
Alkoven	bad															
Spülkasten	bad															
Splitt	bad															
Überwurf	bad															
Oberschenkel	bad															
Standplatz	bad															
Handgelenk	bad															
Hülse	bad															
Pantoffel	good															
Faltenwurf	bad															
Fußnagel	bad															
Pastell	bad															
Gelatine	bad															
Holz	bad															
Schiffchen	bad															
Abrollen	bad															
Matrize	bad															
Kupferstich	bad															
Pflugschar	bad															
Steingut	bad															
Fingerhut	bad															
Schnittwunde	bad															
Dreifuß	bad															
Rohleder	bad															
Kamelie	bad															
Zigarillo	bad															
Fahnenstange	bad															
Wolldecke	bad															
Kleister	bad															
Laufstall	bad															
Monstranz	bad															
Zahnersatz	bad															
Vorhängen	bad															
Schinken	bad															
Plüsch	bad															
Ofenrohr	bad															
Haarnadel	bad															
Fangarm	bad															
Harnisch	bad															
Pinne	bad															
Bindfaden	mid															
Schuhkarton	bad															
Ellbogen	bad															
Maserung	bad															
Verzehren	bad															
Schränkchen	bad															
Einrad	bad															
Speisezettel	bad															
Perforation	bad															
Bademode	bad															
Pappe	bad															
Hand	bad															
Köcher	bad															
Buchrücken	bad															
Fahrrad	bad															
Töpferware	bad															
Einpflanzen	bad															
Baumwolle	bad															
Standbein	bad															
Scheibchen	bad															
Schälchen	bad															
Prellung	bad															
Saugen	bad															
Abbildung	bad															
Ärmel	bad															
Gewinde	bad															
Fußgelenk	bad															
Bordüre	bad															
Füßchen	bad															
Kondom	bad															
Pergament	bad															
Spielzimmer	bad															
Einkerbung	bad															
Semmelbrösel	bad															
Mitesser	bad															
Keilriemen	bad															
Rasieren	bad															
Pferderücken	bad															
Regalbrett	bad															
Lauffläche	bad															
Kopfstütze	bad															
Rute	bad															
Latzhose	bad															
Rückenlehne	bad															
Köfferchen	bad															
Zunder	bad															
Säbel	bad															
Knochen	bad															
Schenkel	bad															
Papierkram	bad															
Stiel	bad															
Zeichnung	bad															
Muskete	bad															
Bettzeug	bad															
Reisegepäck	bad															
Treibmittel	bad															
Kunststoff	bad															
Tunika	bad															
Genick	bad															
Öse	bad															
Polsterung	bad															
Spatel	mid															
Teetasse	mid															
Segeltuch	mid															
Gummi	mid															
Kästchen	bad															
Kochgeschirr	bad															
Stäbchen	bad															
Slip	bad															
Leder	bad															
Pflock	bad															
Kolben	bad															
Anstecknadel	bad															
Lebensmittel	bad															
Schießpulver	bad															
Speiche	bad															
Abdeckung	bad															
Textile	bad															
Brandwunde	bad															
Bademäntel	bad															
Heu	bad															
Leichentuch	bad															
Päckchen	bad															
Steigeisen	bad															
Unterarm	bad															
Laib	bad															
Bein	bad															
Kniescheibe	bad															
Spinnwebe	bad															
Brustkorb	bad															
Achsel	bad															
Fingerspitze	bad															
Stutzen	bad															
Klette	bad															
Revolver	bad															
Handfläche	bad															
Fußknöchel	bad															
Bienenwachs	bad															
Styropor	bad															
Strähne	bad															
Ständer	bad															
Gelenk	bad															
Bäuchlein	bad															
Steißbein	bad															
Hanf	bad															
Bahre	bad															
Marihuana	bad															
Treibholz	bad															
Ellenbogen	bad															
Fingerkuppe	bad															
Bettchen	bad															
Körper	bad															
Muskel	bad															
Schulter	bad															
Tabernakel	bad															
Feuerstelle	bad															
Teelicht	good															
Lineal	good															
Behältnis	mid															
Barren	good															
Schreibfeder	good															
Riemen	good															
Aufkleber	good															
Koffer	good															
Bekleidung	good															
Speerspitze	good															
Pflug	good															
Armband	goof															
Reifen	mid															
Verpackung	good															
Schulranzen	good															
Joghurt	good															
Rasiermesser	good															
Kartoffel	good															
Notizbuch	good															
Schnupftabak	mid															
Kopfkissen	good															
Notizblock	good															
Tampon	good															
Karre	bad															
Hose	good															
Sandpapier	good															
Oberteil	good															
Textilie	good															
Steigbügel	good															
Klebstoff	good															
Geldbörse	good															
Kugellager	mid															
Zettel	good															
Krokette	good															
Kürbis	good															
Faden	good															
Karton	good															
Bettdecke	good															
Rollstuhl	good															
Fotokopierer	mid															
Lanze	good															
Briefpapier	good															
Gabel	good															
Gemüse	good															
Sessel	good															
Seide	mid															
Schraube	good															
Teig	good															
Teigware	good															
Möbel	good															
Gerte	mid															
Strick	good															
Kappe	good															
Kordel	good															
Scharnier	good															
Halskette	good															
Brett	good															
Feile	good															
Sohle	good															
Korkenzieher	good															
Nagel	good															
Brechstange	mid															
Stichsäge	mid															
Saatgut	good															
Degen	good															
Schuhwerk	good															
Hantel	good															
Hosenbund	good															
Bettwäsche	good															
Gurt	good															
Bügeleisen	good															
Besteck	good															
Milchkaffee	good															
Rucksack	good															
Säckchen	bad															
Teebeutel	good															
Schuh	good															
Unterwäsche	good															
Datenträger	mid															
Etui	good															
Schlitten	good															
Brot	good															
Schminke	good															
Würfel	mid															
Weste	good															
Badewanne	good															
Brotkrume	good															
Hufeisen	good															
Nadel	good															
Stiefel	good															
Fliese	good															
Topf	good															
Kuvert	good															
Geldbeutel	good															
Geländer	good															
Bluse	good															
Locher	good															
Spitzhacke	good															
Matratze	good															
Diskette	good															
Schwert	good															
Schürze	good															
Waschlappen	good															
Maultasche	good															
Radieschen	good															
Obst	good															
Aktenkoffer	good															
Butter	good															
Kissen	good															
Sweatshirt	good															
Paste	good															
Kleidung	good															
Widerhaken	good															
Ranzen	good															
Filet	good															
Tisch	good															
Zigarre	good															
Lesezeichen	good															
Brieftasche	good															
Sieb	good															
Ofen	good															
Flaschenzug	good															
Feuerholz	good															
Kleber	good															
Paddel	good															
Schnürsenkel	good															
Arbeitsmappe	good															
Tüte	good															
Schlaufe	good															
Zügel	good															
Stab	good															
Matte	good															
Behälter	good															
Schatulle	good															
Tuch	good															
Sandale	good															
Anker	mid															
Schnalle	good															
Hosentasche	good															
Kelle	good															
Handschelle	good															
Vitrine	good															
Gürtel	good															
Zahnstocher	good															
Zahnpaste	good															
Tablett	good															
Fessel	good															
Teller	good															
Teekanne	good															
Bandage	good															
Halskrause	mid															
Radiergummi	good															
Pullover	good															
Hosenträger	good															
Tupfer	good															
Schnur	good															
Teppich	good															
Bettlaken	good															
Korsett	good															
Prothese	good															
Tasche	good															
Regenschirm	good															
Lasche	good															
Notizzettel	good															
Ohrring	good															
Sakko	good															
Zange	good															
Griff	good															
Pinzette	good															
Teelöffel	good															
Zwangsjacke	good															
Mappe	good															
Teigtasche	good															
Wickel	good															
Messer	good															
Bleistift	good															
Kugel	good															
Tragetuch	good															
Schraubstock	good															
Handschuh	good															
Shampoo	good															
Seife	good															
Schrank	good															
Fotoapparat	mid															
Hefter	good															
Serviette	good															
Sonnenschirm	good															
Haken	good															
Tischdecke	good															
Jacke	good															
Shirt	good															
Geschirr	good															
Schöpfkelle	mid															
Deckel	good															
Karabiner	good															
Strumpfhose	good															
Schemel	mid															
Portemonnaie	good															
Schachbrett	good															
Tischtuch	good															
Sticker	good															
Kiste	good															
Zahnspange	good															
Krawatte	good															
Papier	good															
Sattel	good															
Stativ	good															
Schlinge	good															
Hacke	mid															
Futter	mid															
Bügel	mid															
Sack	good															
Knetmasse	good															
Strumpf	good															
Turnschuh	good															
Handfessel	good															
Gurke	good															
Puder	good															
Umhang	good															
Zaumzeug	good															
Badeanzug	good															
Fußmatte	good															
Waage	good															
Umschlag	good															
Beutel	good															
Skalpell	good															
Strickjacke	good															
Aktentasche	good															
Pipette	good															
Barhocker	good															
Unterhose	good															
Fladenbrot	good															
Gefäß	mid															
Handkarren	good															
Spind	good															
Bürste	good															
Taschentuch	good															
Puzzle	good															
Tabak	good															
Blumenvase	good															
Ordner	good															
Aschenbecher	good															
Schale	good															
Badekleidung	mid															
Bargeld	good															
Kommode	good															
Jackett	good															
Folie	mid															
Zahnrad	mid															
Seil	good															
Kandare	mid															
Zutaten	mid															
Drehbank	bad															
Deichsel	bad															
Nylon	bad															
Bottich	bad															
Kokon	bad															
Chip	bad															
Jeanshose	mid															
Lendenschurz	bad															
Toastbrot	bad															
Blatt	bad															
Brosche	good															
Karaffe	good															
Schneebesen	good															
Schere	action															
Schultasche	mid															
Bändchen	bad															
Pfeilspitze	mid															
Markise	mid															
Scheibe	bad															
Sichel	mid															
Unterhemd	mid															
Schleppe	mid															
Webstuhl	mid															
Armlehne	mid															
Laufsteg	bad															
Stange	mid															
Rad	mid															
Krümel	mid															
Hausschuh	good															
Kimono	mid															
Messing	bad															
Schmutz	bad															
Stickerei	bad															
Filmstreifen	bad															
Ware	bad															
Sägemehl	bad															
Gelee	bad															
Silikon	bad															
Korken	action															
