Words	Pseudowords	n_Syllables	Bewertung	Included	Include? 	Pilot	Sound	Action	Hand Act	Hand is dominant	Geraeusch	Geraeusch_SD	Handlung	Handlung_SD	Visuell	Visuell_SD	Vertrautheit	Vertrautheit_SD	Letters	Lemma_freq	Neighbors	Bigram_freq	Trigram_freq	Natural	Living	Animate	CongResp_S_Prop	CongResp_S_Prop (philosopher exluded)	RT_S_Mean	CongResp_A_Prop	CongResp_A_Prop (philosopher exluded)	RT_A_Mean	LDT_CorrResp_Prop	LDT_RT_Mean	CorrResp_Prop_PW	RT_Mean_PW		First_Miniblock_OddSubs	First_Miniblock_EvenSubs	Rating_Study	Unbekannt_GE	Unbekannt_HA	Unbekannt_VI	Pros	Cons			Phil Comments	Comments Phil	Comments Marie	Comments Gesa						Foot Act	Mouth Act			Category 	AF	Act	Kiefer		Kategorie 		Syllables_raw		Vertrautheit (ORIGINAL)	Geraeusch_SE	Handlung_SE	Visuell_SE	Vertrautheit_SE		RT_S_Sum	CongResp_S_Sum	NonNaNTrials_S	RT_A_Sum	CongResp_A_Sum	NonNaNTrials_A	RT_Sum_W	CorrResp_Sum_W	NonNaNTrials_W	RT_Sum_PW	CorrResp_Sum_PW	NonNaNTrials_PW			
Flöte	Drüte	2	1	1		1	1	1	1	0,5	5,67	0,77	5,22	1,11	3,94	1,47	5,78	0,73	5	4,43	7,28	224827,71	166939,28	0	0	0	1,00	1,00	709,58	1,00	1,00	843,42	1,00	584,92	0,92	699,50		A	S					very high AF	musical instr (only appear as high AF)																m	1	1	0				trom-mel		5,75	0,28	0,35	0,27	0,06		8515	12	12	10121	12	12	7019	12	12	8394	11	12			
Dusche	Dustre	2	2	1		1	1	1	1	1	4,14	1,31	5,58	0,69	4,26	1,52	6,00	0,00	6	2,41	9,42	380032,24	228097,12	0	0	0	0,83	0,82	975,92	0,92	0,91	827,00	1,00	570,58	1,00	753,83		A	S																			1			m	1	1	1				sa-xo-phon		5,19						11711	10	12	9924	11	12	6847	12	12	9046	12	12			
Xylophon	Dylodran	3	1	1		1	1	1	1	1	5,56	0,92	5,17	1,15	4,00	1,50	5,33	0,97	8	0,67	1,28	234226,88	210626,68	0	0	0	1,00	1,00	750,25	1,00	1,00	765,08	1,00	702,25	1,00	847,42		S	A					very high AF	musical instr (only appear as high AF)																a	0	0,2	0				gar-ne-le		5,06	0,36	0,24	0,42	0,31		9003	12	12	9181	12	12	8427	12	12	10169	12	12			
Eidechse	Eibernde	3	1	1		1	0	0			1,20		1,47		4,73		5,79	0,51	8	2,58	0,86	430487,24	166911,75	1	1	1	1,00	1,00	828,25	1,00	1,00	717,92	1,00	609,67	1,00	974,92		S	A	NachR_VE				very low AF	highly visual													1			o	0	1	1				löf-fel		4,88						9939	12	12	8615	12	12	7316	12	12	11699	12	12			
Affe	Elme	2	1	1		1	1	0			4,56	1,15	1,89	0,96	4,56	1,54	5,72	0,83	4	10,37	5,14	167234,80	155355,74	1	1	1	0,75	0,73	851,17	1,00	1,00	826,33	1,00	611,92	0,67	808,58		A	S					very high AF																	o	1	0,5	0				ge-trie-be		4,67						10214	9	12	9916	12	12	7343	12	12	9703	8	12			
Fagott	Fasont	2	1	1		1	1	1	1	0,8	5,71	0,59	5,11	1,37	3,72	1,49	4,94	1,39	6	0,92	2,57	124443,12	101163,06	0	0	0	0,92	0,91	698,58	1,00	1,00	794,17	0,92	771,00	0,83	868,00		S	A					very high AF	musical instr (only appear as high AF)																o	0	1	0				ka-pu-ze		5,83						8383	11	12	9530	12	12	9252	11	12	10416	10	12			
Geige	Feise	2	1	1		1	1	1	1	1	5,53		4,00		4,20		5,96	0,20	5	7,01	14,13	322487,19	173255,94	0	0	0	1,00	1,00	690,33	1,00	1,00	764,33	1,00	584,67	0,83	861,42		A	S	NachR_VE				very high AF	musical instr (only appear as high AF)	"same concept as ""Violine"" -> choose only 1 for 1 participant"															a	1	0	1				specht		3,73						8284	12	12	9172	12	12	7016	12	12	10337	10	12			
Frisbee	Fliskee	2	1	1		1	0	1	1	1	1,47		5,13		4,07		5,67	0,92	7	0,02	0,43	248096,22	151427,96	0	0	0	1,00	1,00	960,58	0,75	0,73	778,25	1,00	795,42	1,00	822,50		S	A	NachR_VE				very low AF	infrequent																					Tier		floh		5,43	0,10	0,12	0,39	0,26		11527	12	12	9339	9	12	9545	12	12	9870	12	12			
Trommel	Fremmel	2	1	1		1	1	1	1	1	5,75	0,77	5,31	1,14	3,81	1,68	5,75	0,58	7	10,33	4,28	97301,68	38622,73	0	0	0	1,00	1,00	733,42	1,00	1,00	674,42	1,00	587,42	0,75	835,67		A	S					very high AF	musical instr (only appear as high AF)																o	1	0,5	0				lüf-tung		5,44	0,40	0,28	0,42	0,31		8801	12	12	8093	12	12	7049	12	12	10028	9	12			
Trompete	Frirpete	3	1	1		1	1	1	1	0,8	5,89	0,32	5,28	1,02	4,44	1,72	5,67	0,97	8	5,13	3,00	262055,61	169258,53	0	0	0	1,00	1,00	605,92	1,00	1,00	756,17	1,00	600,00	0,92	846,75		S	A					very high AF	musical instr (only appear as high AF)																o	0,5	1	0						4,52	0,26	0,14	0,46	0,35		7271	12	12	9074	12	12	7200	12	12	10161	11	12			
Fichte	Gächte	2	1	1		1	0	0			1,48	0,67	1,48	0,67	4,43	1,29	5,38	0,92	6	10,82	10,70	425135,08	240753,15	1	1	0	1,00	1,00	679,25	1,00	1,00	850,00	1,00	570,58	0,92	773,08		A	S	3	0,00	0,00	0,00						möglw. nicht sehr vertraut / frequent								0	1			f	n		1				feld-sa-lat		4,73						8151	12	12	10200	12	12	6847	12	12	9277	11	12			
Gecko	Gesky	2	1	1		1	0	0			1,56	0,63	1,19	0,40	4,19	1,47	5,00	1,37	5	0,14	2,57	50567,82	32167,55	1	1	1	0,75	0,73	815,42	1,00	1,00	773,17	0,92	739,42	1,00	724,42		A	S						relatively infrequent																a	0	0	0				wels		4,00	0,25	0,18	0,27	0,00		9785	9	12	9278	12	12	8873	11	12	8693	12	12			
Gewehr	Gewark	2	1	1		1	1	1	1	1	5,28	0,89	5,33	1,03	4,44	1,10	5,33	1,19	6	17,49	5,14	193492,36	146107,31	0	0	0	1,00	1,00	717,92	1,00	1,00	811,83	1,00	577,00	1,00	884,17		S	A					very high AF																						menschengemachtes Objekt		sti-cker		5,57	0,15	0,30	0,33	0,18		8615	12	12	9742	12	12	6924	12	12	10610	12	12			
Ziege	Giede	2	1	1		1	1	0			4,53		1,93		4,53		5,96	0,20	5	5,98	9,85	294312,84	154217,20	1	1	1	0,83	0,82	927,17	1,00	1,00	934,75	1,00	641,75	1,00	713,00		A	S	NachR_VE				very high AF																								e-mu		3,90	0,18	0,10	0,42	0,34		11126	10	12	11217	12	12	7701	12	12	8556	12	12			
Skorpion	Grinpion	3	1	1		1	0	0			1,38	0,62	1,13	0,34	4,75	1,29	5,25	1,39	8	1,49	2,14	282929,56	241811,71	1	1	1	1,00	1,00	765,92	1,00	1,00	794,67	1,00	631,17	0,92	730,25		S	A					very low AF	highly visual, little action																o	0	1	0				fa-den		5,67	0,11	0,18	0,36	0,22		9191	12	12	9536	12	12	7574	12	12	8763	11	12			
Propeller	Grizeller	3	3	1	MAN-MADE	1	1	0			4,81	1,72	3,19	1,56	3,50	1,97	5,38	0,96	9	0,93	1,71	385997,73	227500,66	0	0	0	0,83	0,91	950,50	0,75	0,73	952,58						S	A					"very high AF; man-made item (little low Act)"	mid Act-Rating			im absoluten Notfall (mittleres Act-Rating)													m	1	1	0				har-fe		5,61						11406	10	12	11431	9	12	0	0	0	0	0	0			
Floh	Groh	1	1	1		1	0	0			1,13	0,46	1,30	0,56	3,05	1,77	5,43	1,21	4	2,31	11,56	60913,68	52530,98	1	1	1	1,00	1,00	736,67	1,00	1,00	786,83	1,00	605,75	0,92	810,58		S	A	3	0,00	0,00	0,00															1			f	0	1	0				kar-tof-fel		6,00	0,16	0,15	0,31	0,17		8840	12	12	9442	12	12	7269	12	12	9727	11	12			
Spaten	Groten	2	1	1	Gesa: Ich finde das gut, hatte ich auch in meinem Stimulusset	1	0	1	1	1	1,73		5,07		3,57		5,71	0,69	6	3,96	9,42	502930,66	378445,79	0	0	0	0,83	0,82	904,50	0,92	0,91	922,58	0,92	764,83	0,92	975,25		A	S	NachR_VE					not very low AF																a	1	0,5	0						5,81						10854	10	12	11071	11	12	9178	11	12	11703	11	12			
Tanne	Hanbe	2	1	1		1	0	0			1,40		1,73		4,87		5,96	0,20	5	3,51	18,84	245423,49	164258,10	1	1	0	1,00	1,00	711,92	1,00	1,00	825,33	1,00	602,92	1,00	719,83		A	S	NachR_VE				very low AF	plant (only appear as low AF)																a	0	0	0				scha-be		4,69	0,22	0,32	0,36	0,14		8543	12	12	9904	12	12	7235	12	12	8638	12	12			
Känguruh	Hänfusum	3	1	1		1	0	0			1,88	0,72	1,25	0,58	4,81	1,42	5,38	1,02	8	0,52	1,71	129437,35	55648,20	1	1	1	1,00	1,00	917,67	1,00	1,00	870,50	1,00	673,58	1,00	782,00		S	A						highly visual																					Kleidung		wes-te		5,52	0,13	0,23	0,32	0,18		11012	12	12	10446	12	12	8083	12	12	9384	12	12			
Säge	Hige	2	1	1		1	1	1	1	1	4,63	1,50	5,56	0,73	4,44	1,41	5,69	0,60	4	2,81	11,13	222774,39	165767,83	0	0	0	0,83	0,82	844,83	1,00	1,00	777,58	1,00	613,83	1,00	786,83		S	A																						o	0,8	1	0						5,89	0,36	0,09	0,22	0,22		10138	10	12	9331	12	12	7366	12	12	9442	12	12			
Milbe	Holbe	2	1	1		1	0	0			1,00	0,00	1,39	0,85	3,39	1,97	5,00	1,33	5	0,74	4,28	207951,66	153603,08	1	1	1	1,00	1,00	743,67	1,00	1,00	841,17	0,92	810,92	0,92	811,42		S	A					very low AF														1			f	0	1	1				him-bee-re		5,00	0,29	0,18	0,30	0,20		8924	12	12	10094	12	12	9731	11	12	9737	11	12			
Tornado	Horkada	3	3	1		1	1	0			4,26	1,76	1,26	0,69	4,33	1,59	4,86	1,35	7	1,84	1,71	62849,60	17267,46	1	0	0	0,67	0,73	972,83	1,00	1,00	974,83	1,00	675,17	1,00	820,08		S	A	3	0,00	0,00	0,00						Tornado finde ich noch okay ->	kein wirkliches Objekt 	zu abstrakt (Visualisierung)										o	0	0,5	0						5,81	0,26	0,14	0,43	0,40		11674	8	12	11698	12	12	8102	12	12	9841	12	12			
Uhu	Itu	2	1	1		1	1	0			5,07		1,53		4,87		5,79	0,51	3	1,00	13,27	21961,51	18342,50	1	1	1	0,92	0,91	820,33	1,00	1,00	749,42	1,00	618,25	1,00	730,83		A	S	NachR_VE				very high AF																	o	0,2	1	0						6,00	0,20	0,15	0,38	0,33		9844	11	12	8993	12	12	7419	12	12	8770	12	12			
Eiche	Jäche	2	1	1		1	0	0			1,78	0,87	1,71	0,81	4,39	1,47	5,36	0,92	5	3,08	12,41	372137,30	234035,87	1	1	0	1,00	1,00	728,50	1,00	1,00	763,67	1,00	688,67	1,00	778,92		S	A	3	0,00	0,00	0,00						Nach-Rating (da seltsam hohes AF-Rating)? ABER: unser eigenes Rating												o	0,5	1	0						4,88						8742	12	12	9164	12	12	8264	12	12	9347	12	12			
Cello	Jillo	2	1	1		1	1	1	1	1	5,44		4,50		4,19		4,95	1,53	5	1,01	14,55	63797,19	16323,78	0	0	0	1,00	1,00	676,25	1,00	1,00	792,83	1,00	716,42	1,00	752,00		S	A					very high AF	musical instr (only appear as high AF)																a	0,8	0,2	0				gans		5,56	0,31	0,21	0,45	0,08		8115	12	12	9514	12	12	8597	12	12	9024	12	12			
Tablett	Kakrett	2	1	1		1	0	1	1	1	1,38	0,81	4,75	1,34	3,63	1,89	5,69	0,60	7	4,08	2,57	170026,46	100505,88	0	0	0	0,92	0,91	1056,92	0,75	0,82	1230,00	1,00	629,17	1,00	873,00		A	S					very low AF																	a	0	0	0				gi-raf-fe		5,61	0,15	0,42	0,39	0,14		12683	11	12	14760	9	12	7550	12	12	10476	12	12			
Handy	Kangy	2	1	1		1	1	1	1	1	4,38		5,38		4,25		6,00	0,00	5	0,73	11,13	120598,99	27252,05	0	0	0	1,00	1,00	861,42	1,00	1,00	744,67	1,00	621,00	1,00	813,42		S	A	NachR_VE																		1			f	0	1	1				o-li-ve		4,73	0,18	0,17	0,27	0,20		10337	12	12	8936	12	12	7452	12	12	9761	12	12			
Kontrabass	Kartrabage	3	1	1		1	1	1	1	1	5,25		4,44		4,00		5,05	1,20	10	0,02	0,00	209664,62	93015,71	0	0	0	1,00	1,00	696,92	1,00	1,00	810,83	0,92	733,25	1,00	975,83		S	A					very high AF	musical instr (only appear as high AF)	probably lexicalized compound					finde ich ok							1			o	0	1	0				tas-se		5,75	0,06	0,22	0,31	0,16		8363	12	12	9730	12	12	8799	11	12	11710	12	12			
Telefon	Kelehin	3	1	1		1	1	1	1	1	5,63	1,02	5,56	0,89	3,75	1,34	6,00	0,00	7	16,09	3,42	297327,17	221799,33	0	0	0	1,00	1,00	876,25	1,00	1,00	721,75	1,00	579,42	0,92	795,83		A	S					very high AF																	a	0	0	0				hai		5,72	0,00	0,20	0,47	0,31		10515	12	12	8661	12	12	6953	12	12	9550	11	12			
Krawatte	Klanette	3	1	1		1	0	1	1	1	1,00	0,00	5,22	1,06	4,78	1,73	5,83	0,51	8	6,34	1,28	288680,65	180859,26	0	0	0	1,00	1,00	802,08	0,83	0,82	902,00	1,00	588,00	0,75	832,92		S	A					very low AF	highly visual																					menschengemachtes Objekt				5,76	0,34	0,26	0,23	0,10		9625	12	12	10824	10	12	7056	12	12	9995	9	12			
Kröte	Klüte	2	1	1		1	1	0			4,39	1,09	1,33	0,59	4,50	1,38	5,50	0,79	5	2,13	3,42	228226,58	169722,04	1	1	1	0,83	0,82	883,50	0,92	0,91	828,33	1,00	624,08	1,00	774,42		S	A					very high AF																						Pflanze				5,71	0,06	0,21	0,30	0,12		10602	10	12	9940	11	12	7489	12	12	9293	12	12			
Kleber	Knerer	2	1	1		1	0	1	1	1	1,00	0,00	4,94	1,00	2,89	1,78	5,72	0,75	6	0,62	8,99	376563,23	225925,55	0	0	0	0,83	0,91	813,42	0,92	0,91	863,58	1,00	616,58	1,00	726,42		A	S					"very low AF; not highly visual"																	a	1	0	0				krö-te		5,50	0,34	0,17	0,39	0,11		9761	10	12	10363	11	12	7399	12	12	8717	12	12			
Krähe	Knöhe	2	1	1		1	1	0			5,00		1,33		4,60		5,79	0,66	5	3,16	4,71	199614,58	156825,22	1	1	1	1,00	1,00	841,33	1,00	1,00	919,00	1,00	642,33	1,00	982,33		S	A	NachR_VE				very high AF																	o	1	1	1				staub-sau-ger		4,56	0,20	0,35	0,39	0,12		10096	12	12	11028	12	12	7708	12	12	11788	12	12			
Alge	Kuse	2	1	1		1	0	0			1,06	0,24	1,39	0,70	3,72	1,93	5,28	1,13	4	1,82	10,70	218472,10	161107,16	1	1	0	0,92	0,91	801,42	1,00	1,00	876,83	0,92	679,25	0,92	779,42		A	S					very low AF	plant (only appear as low AF)																o	0	1	0				mas-ke		5,19	0,27	0,37	0,28	0,18		9617	11	12	10522	12	12	8151	11	12	9353	11	12			
Gazelle	Lazende	3	1	1		1	0	0			1,88	1,02	1,19	0,54	3,63	1,82	4,94	1,39	7	0,69	2,57	237203,24	169477,82	1	1	1	0,92	0,91	926,08	1,00	1,00	785,75	1,00	622,83	0,75	934,00		A	S						not very low AF	very low action															o	1	1	0				bom-be		5,33	0,22	0,32	0,35	0,24		11113	11	12	9429	12	12	7474	12	12	11208	9	12			
Lüftung	Löttung	2	3	1		1	1	0			4,72	1,13	2,83	1,65	2,33	1,46	5,44	0,78	7	0,94	0,86	152813,71	81760,80	0	0	0	0,83	0,82	973,08	0,75	0,73	1127,42	0,92	705,25	1,00	808,50		S	A					very high AF				Notfall x (not very low Act, but intuitively not strongly associated with actions)													p	0	0	1				e-feu		4,00						11677	10	12	13529	9	12	8463	11	12	9702	12	12			
Löwe	Lüße	2	2	1		1	1	0			4,47		2,13		5,40		6,00	0,00	4	15,72	9,42	159145,78	140440,22	1	1	1	0,75	0,73	796,75	1,00	1,00	850,33	0,92	555,25	1,00	732,33		A	S	NachR_VE				very high AF	not very low Act			x																		Tier		dachs		5,38	0,19	0,11	0,36	0,26		9561	9	12	10204	12	12	6663	11	12	8788	12	12			
Harfe	Marme	2	1	1		1	1	1	1	1	5,67	0,84	5,17	1,29	4,11	1,68	5,61	0,78	5	1,77	6,85	182450,87	148418,58	0	0	0	1,00	1,00	726,25	1,00	1,00	730,58	1,00	686,00	1,00	729,17		S	A					very high AF	musical instr (only appear as high AF)																					Einrichtung		gar-di-ne		5,43	0,17	0,28	0,38	0,16		8715	12	12	8767	12	12	8232	12	12	8750	12	12			
Seife	Meime	2	1	1		1	0	1	1	1	1,39	0,72	5,13	0,97	3,29	1,59	5,90	0,30	5	7,71	8,99	260060,75	164661,33	0	0	0	1,00	1,00	808,42	0,92	0,91	1049,42	1,00	590,75	0,92	753,00		S	A	3	0,00	0,00	0,00																							menschengemachtes Objekt				5,86	0,11	0,31	0,42	0,08		9701	12	12	12593	11	12	7089	12	12	9036	11	12			
Mikrofon	Midrohin	3	1	1		1	1	1	1	1	5,13	1,59	5,19	1,11	3,75	1,69	5,63	1,26	8	1,23	1,28	259945,89	227306,33	0	0	0	0,92	1,00	934,92	0,92	0,91	851,42	1,00	583,92	0,92	828,08		S	A					very high AF																	o	1	1	0				sä-ge		5,69	0,29	0,22	0,28	0,06		11219	11	12	10217	11	12	7007	12	12	9937	11	12			
Waffel	Miffel	2	1	1		1	0	1	1	0,8	1,50	0,86	4,72	1,49	3,72	1,64	5,83	0,51	6	0,43	3,85	79939,58	38714,84	0	0	0	1,00	1,00	771,17	0,75	0,73	909,92	1,00	669,75	1,00	763,25		A	S					very low AF	food (only appear as low AF)																					Tier		mar-der		5,43	0,23	0,15	0,33	0,18		9254	12	12	10919	9	12	8037	12	12	9159	12	12			
Mikroskop	Mikrimkoh	3	2	1		1	0	1	1	1	1,36		4,47		4,80		5,75	0,74	9	3,16	2,14	47777,08	19570,09	0	0	0	1,00	1,00	934,67	1,00	1,00	864,00	1,00	735,08	1,00	1026,50		A	S	NachR_VE				very low AF	highly visual																					Natur 		gey-sir		4,24	0,34	0,15	0,35	0,35		11216	12	12	10368	12	12	8821	12	12	12318	12	12			
Amsel	Mudel	2	1	1		1	1	0			4,50	1,46	1,25	0,58	4,25	1,48	5,50	0,89	5	1,52	4,71	101323,01	41957,69	1	1	1	0,75	0,73	855,25	1,00	1,00	857,83	0,92	630,17	0,92	801,50		S	A					very high AF																	a	0,8	0	0				hor-nis-se		5,44						10263	9	12	10294	12	12	7562	11	12	9618	11	12			
Bär	Mür	1	2	1	x	1	1	0			3,83	1,29	1,44	0,86	5,28	0,75	5,56	0,98	3	10,33	15,84	132087,56	128785,53	1	1	1	0,67	0,64	1045,92	0,92	0,91	804,17	1,00	592,67	0,92	835,50		A	S						not very high AF												1				o	1	1	0				mi-ne		4,94						12551	8	12	9650	11	12	7112	12	12	10026	11	12			
Paket	Nalet	2	1	1		1	0	1	1	1	1,31	0,60	4,63	1,67	4,00	1,55	5,81	0,54	5	14,26	7,28	131761,91	102329,97	0	0	0	0,83	0,82	906,67	0,83	0,82	1059,83	1,00	682,25	1,00	649,42		S	A					very low AF														1			f	0	1	1				ki-wi		4,67						10880	10	12	12718	10	12	8187	12	12	7793	12	12			
Fön	Nän	1	1	1		1	1	1	1	1	4,50		4,69		3,00		5,88	0,45	3	0,22	12,84	209121,18	206694,59	0	0	0	0,92	0,91	734,75	1,00	1,00	809,58	1,00	698,17	0,92	757,58		S	A	NachR_VE																	0,5				o	1	1	0				zug		5,94	0,26	0,34	0,27	0,27		8817	11	12	9715	12	12	8378	12	12	9091	11	12			
