word	good_or_bad?
Kopfkissen	x
Puzzle	x
Sonnenschirm	x
Bügeleisen	x
Kandare	x
Harnisch	x
Rollstuhl	x
Tupfer	x
Arm	x
Webstuhl	x
Jackett	x
Folie	x
Gefriertruhe	x
Armband	x
Hocke	x
Gürtel	x
Laufwerk	x
Stab	x
Standplatz	x
Hosenbund	x
Schultasche	x
Acryl	x
Strickjacke	x
Toastbrot	x
Akupressur	x
Möbel	x
Ellbogen	x
Holzstamm	x
Schälchen	x
Zahnrad	x
Karton	x
Gabel	x
Sakko	x
Bäuchlein	x
Bluse	x
Haarnadel	x
Anker	x
Oberhemd	x
Rucksack	x
Schreibtisch	x
Fahnenstange	x
Prothese	x
Pipette	x
Pflasterung	x
Bewehrung	x
Regalbrett	x
Tragetuch	x
Armreif	x
Bettdecke	x
Würfelchen	x
Portemonnaie	x
Zahnersatz	x
Bindemittel	x
Rasiermesser	x
Ferse	x
Liegewiese	x
Fingerspitze	x
Unterlage	x
Eisbahn	x
Parken	x
Handfessel	x
Tasche	x
Schriftrolle	x
Knorpel	x
Werkraum	x
Mürbeteig	x
Tunika	x
Möbelstück	x
Sitzstange	x
Aufhängen	x
Schrubber	x
Drogerie	x
Sitzfläche	x
Buchbinder	x
Gewinde	x
Füßchen	x
Etui	x
Schemel	x
Bajonett	x
Fußmatte	x
Zahnspange	x
Bettwäsche	x
Spargel	x
Handgriff	x
Knauf	x
Stiefel	x
Tätowieren	x
Dachdeckung	x
Tapete	x
Hartholz	x
Schleppe	x
Erhitzen	x
Ware	x
Chip	x
Brosche	x
Holzscheit	x
Fessel	x
Montierung	x
Stecknadel	x
Schinken	x
Gelatine	x
Fotokopierer	x
Kärtchen	x
Stutzen	x
Karaffe	x
Bienenwachs	x
Strumpfhose	x
Hand	x
Zimmerdecke	x
Nylon	x
Wachs	x
Pflock	x
Stellfläche	x
Fußspitze	x
Handtasche	x
Schatulle	x
Zehennagel	x
Pflug	x
Klette	x
Wams	x
Tafelsilber	x
Hilfsmittel	x
Seife	x
Erntegut	x
Bändchen	x
Platzwunde	x
Wand	x
Geleise	x
Radieschen	x
Fußnagel	x
Ranzen	x
Boden	x
Lehnstuhl	x
Polster	x
Pullover	x
Schulranzen	x
Schürze	x
Augenbinde	x
Kokon	x
Höschen	x
Karabiner	x
Feuerholz	x
Spinnwebe	x
Schlitten	x
Zigarillo	x
Anfertigen	x
Treibmittel	x
Krümel	x
Hacke	x
Pickel	x
Bodenbelag	x
Blatt	x
Abkochen	x
Überwurf	x
Lidschlag	x
Geschirr	x
Verpuppung	x
Diskette	x
Halskrause	x
Täschchen	x
Gurt	x
Umschlag	x
Gestell	x
Pinne	x
Gewebe	x
Einpflanzen	x
Jogginghose	x
Dielenboden	x
Muskel	x
Shampoo	x
Feldstecher	x
Sweatshirt	x
Arbeitsgang	x
Futtern	x
Schienbein	x
Stola	x
Koffer	x
Alkoven	x
Kimono	x
Dreifuß	x
Treibholz	x
Zubereitung	x
Hosenträger	x
Töpferware	x
Tiegel	x
Schwert	x
Aktenkoffer	x
Shirt	x
Elfenbein	x
Bein	x
Verzehr	x
Rückenlehne	x
Gliedmaß	x
Accessoire	x
Aufkleber	x
Tablett	x
Lanze	x
Ohrläppchen	x
Hausschuh	x
Brustpanzer	x
Bindfaden	x
Regenschirm	x
Fotoapparat	x
Sortiment	x
Hauswand	x
Schmierstoff	x
Tüll	x
Gitternetz	x
Kelle	x
Stativ	x
Konfekt	x
Stückchen	x
Überzug	x
Felge	x
Schnürsenkel	x
Steißbein	x
Sack	x
Halskette	x
Oberschenkel	x
Schaumstoff	x
Widerhaken	x
Unterarm	x
Steingut	x
Jacke	x
Fliese	x
Grasnarbe	x
Stiel	x
Holz	x
Stange	x
Teebeutel	x
Ofen	x
Fladen	x
Schminke	x
Flechtwerk	x
Markise	x
Kunstleder	x
Querlatte	x
Montieren	x
Monstranz	x
Brustkorb	x
Armbruster	x
Schnur	x
Kommode	x
Papier	x
Bordüre	x
Kuvert	x
Vitrine	x
Kork	x
Teppich	x
Seide	x
Kicks	x
Teetasse	x
Schuhwerk	x
Handapparat	x
Teller	x
Genick	x
Handgelenk	x
Schießpulver	x
Brot	x
Bienenstock	x
Schrank	x
Öse	x
Schaft	x
Speichel	x
Einband	x
Hellebarde	x
Bekleidung	x
Kordel	x
Leder	x
Barhocker	x
Rasieren	x
Haarschnitt	x
Zahnpaste	x
Brieftasche	x
Butter	x
Skalpell	x
Splitt	x
Hufeisen	x
Schöpfkelle	x
Pantoffel	x
Schuh	x
Kleidung	x
Bücherregal	x
Zahnstocher	x
Spülkasten	x
Hefter	x
Fotokopie	x
Schnürchen	x
Kissen	x
Meerrettich	x
Latz	x
Nahrung	x
Haken	x
Anschnitt	x
Vorderlauf	x
Kleber	x
Nadel	x
Tischdecke	x
Tüte	x
Fausthieb	x
Kauen	x
Bündchen	x
Mappe	x
Halterung	x
Tresorraum	x
Kleben	x
Ohrring	x
Besatz	x
Sanduhr	x
Knie	x
Knöchel	x
Zügel	x
Absaugen	x
Taschentuch	x
Speerspitze	x
Puder	x
Sehne	x
Plastik	x
Hanf	x
Bottich	x
Lauffläche	x
Bündel	x
Spanplatte	x
Messer	x
Silikon	x
Waschlappen	x
Sessel	x
Lederhaut	x
Stecher	x
Bügel	x
Handschuh	x
Kleister	x
Waage	x
Blattwerk	x
Maserung	x
Filz	x
Degen	x
Radiergummi	x
Deckel	x
Fläschchen	x
Sticken	x
Hüfte	x
Hose	x
Flicken	x
Schränkchen	x
Besprühen	x
Handikap	x
Pinzette	x
Klumpen	x
Zaumzeug	x
Schnittlauch	x
Klebstoff	x
Unterhemd	x
Bandage	x
Zopf	x
Anprobe	x
Zeichnung	x
Packung	x
Maultasche	x
Sandpapier	x
Bademode	x
Polsterung	x
Serviette	x
Urinieren	x
Rad	x
Strippen	x
Innenseite	x
Fixieren	x
Plüsch	x
Umhang	x
Werkstück	x
Saugen	x
Lesezeichen	x
Deichsel	x
Schlaufe	x
Brechstange	x
Hantel	x
Briefchen	x
Belag	x
Abtropfen	x
Zubereiten	x
Bodybuilding	x
Kondom	x
Baugrund	x
Wickel	x
Verschlucken	x
Tuch	x
Flaschenzug	x
Schale	x
Blumenvase	x
Teelicht	x
Wunde	x
Schalung	x
Schnitt	x
Kilt	x
Deckelung	x
Matratze	x
Kappe	x
Notizzettel	x
Krokette	x
Jute	x
Flegel	x
Liegestütze	x
Kiste	x
Biomaterial	x
Waschen	x
Kupferstich	x
Beschlag	x
Krawatte	x
Weste	x
Knobeln	x
Ballen	x
Zunder	x
Joghurt	x
