word	good_or_bad?	comment
Schüler	x	y
Reporter	x	y
Tenor	x	y
Gangster	x	y
Nagetier	x	y
Theaterautor	x	y
Maulesel	x	y
Rettungsboot	x	y
Raucher	x	y
Wal	x	y
Dompteur	x	y
Moderator	x	y
Nachtclub	x	y
Amokläufer	x	y
Vorfall	x	y
Scientologe	x	y
Zirkus	x	y
Kommuniqué	x	y
Weggefährte	x	y
Fresser	x	y
Autofahrer	x	y
Airport	x	y
Mitschüler	x	y
Saxophonist	x	y
Ochsenknecht	x	y
Beleuchter	x	y
Mobilfunk	x	y
Fußgänger	x	y
Luftfahrzeug	x	y
Kollege	x	y
Wache	x	y
Grube	x	y
Ohrenzeuge	x	y
Luftraum	x	y
Fledermaus	x	y
Gewandhaus	x	y
Klimbim	x	y
Protestler	x	y
Hofnarr	x	y
Spion	x	y
Hähnchen	x	y
Giraffe	x	y
Anzeigetafel	x	y
Audi	x	y
Flüchtling	x	y
Looping	x	y
Farmer	x	y
Trichter	x	y
Pirol	x	y
Kakadu	x	y
Paragraph	x	y
Brachvogel	x	y
Händler	x	y
Kanonier	x	y
Spezi	x	y
Darsteller	x	y
Tanzende	x	y
Haushälterin	x	y
Wetterhahn	x	y
Flamme	x	y
Papi	x	y
Halbaffe	x	y
Köter	x	y
Piepser	x	y
Bassist	x	y
Plagiator	x	y
Sportsmann	x	y
Mittelsmann	x	y
Chef	x	y
Stier	x	y
Lift	x	y
Manager	x	y
Redakteur	x	y
Lkw	x	y
Tuba	x	y
Schakal	x	y
Figur	x	y
Haltepunkt	x	y
Auspuff	x	y
Bauchredner	x	y
Rehwild	x	y
Bomber	x	y
Sängerin	x	y
Wirtsleute	x	y
Kakerlak	x	y
Büffel	x	y
Maikäfer	x	y
Biene	x	y
Rosine	x	y
Riese	x	y
Drahtzieher	x	y
Standort	x	y
Sergeant	x	y
Anführer	x	y
Krähe	x	y
Plagiat	x	y
Sprechanlage	x	y
Jeep	x	y
Brocken	x	y
Butt	x	y
Nachtlokal	x	y
Panoptikum	x	y
Halle	x	y
Beitrag	x	y
