word	category	rating	Phil_comments
Wippe	highA_highS		
Dudelsack	highA_highS		
Taktstock	highA_highS		
Spielzeug	highA_highS		
Rassel	highA_highS		
Lasso	highA_highS		
Fagott	highA_highS		
Festwagen	highA_highS		
Schleifer	highA_highS		
Mixer	highA_highS		
Flšte	highA_highS		
Schleuder	highA_highS		
Hobel	highA_highS		
KŸhltruhe	highA_highS		
Cello	highA_highS		
MŠher	highA_highS		
Lagerfeuer	highA_highS		
Banjo	highA_highS		
Biene	highA_highS	bad	not high action
Waffe	highA_highS	mid	quite general
SŠge	highA_highS		
Rohrstock	highA_highS		
MotorsŠge	highA_highS		
Rednerpult	highA_highS	mid	only indirect sound association
Kran	highA_highS		
Trampolin	highA_highS		
Dampfwalze	highA_highS		
KettensŠge	highA_highS		
Blockflšte	highA_highS		
Schlagwerk	highA_highS		
Brecheisen	highA_highS		
Beil	highA_highS		
ZahnbŸrste	highA_highS	mid	only indirect sound association
Schlagzeug	highA_highS		
Feuerwaffe	highA_highS		
Brandbombe	highA_highS		
Tuba	highA_highS		
Klarinette	highA_highS		
Auto	highA_highS		
