word	en_google_translation	predicted_concreteness	predicted_visual	predicted_haptic	predicted_gustatory	predicted_olfactory	predicted_auditory	predicted_hand	predicted_leg	predicted_head	predicted_mouth	predicted_torso	predicted_valence	predicted_arousal	predicted_dominance	en_concreteness	en_visual	en_haptic	en_gustatory	en_olfactory	en_auditory	en_hand	en_leg	en_head	en_mouth	en_torso	en_valence	en_arousal	en_dominance	
Mensch	person	-0.017	0.06	-0.073	-0.304	0.563	1.002	0.082	1.27	1.693	0.525	1.602	1.1142557801518314	0.18180520686532042	1.0818177226737067	4.72	4.454545455	3.0	0.909090909	2.090909091	3.818181818	3.380952381	2.476190476	4.476190476	3.80952381	2.428571429	6.1	3.71	6.0	
Himmel	heaven	1.194	1.981	-0.563	-0.042	0.594	-1.301	-1.442	-0.425	2.51	-1.368	-0.27	1.676671021115899	0.016238577079452143	0.6317603673738748	1.81	0.964285714	0.178571429	0.0	0.0	0.714285714	0.666666667	0.476190476	2.047619048	0.714285714	0.714285714	7.5	4.23	5.22	
Schatten	shadow	0.593	1.653	0.255	-0.797	0.387	-2.319	-1.035	0.774	1.788	-2.541	-0.473	0.6661573903394431	-0.005857805609874398	-0.031182433391269637	4.54	4.647058824	0.235294118	0.176470588	0.294117647	0.058823529	0.9	0.85	2.85	0.45	0.85	5.07	3.1	4.41	
Leichtigkeit	ease	-1.316	0.538	0.849	0.63	0.203	-0.316	1.596	2.534	0.766	0.338	2.325	1.6725164411848263	0.9261706414416703	1.9958004221749188	2.32	1.6	1.0	0.1	0.15	1.05	1.75	1.25	2.35	1.3	1.2	6.15	2.45	6.42	
Stimmung	mood	-0.883	-1.495	-0.58	0.3	0.444	2.748	-0.076	-0.371	2.815	2.033	0.089	0.17681884591839228	0.48204277341472335	0.23534464801012997	1.75	2.111111111	0.444444444	0.111111111	0.166666667	1.5	0.666666667	0.444444444	3.833333333	1.111111111	0.722222222	5.29	4.5	5.79	
Wort	word	0.272	-2.009	-0.249	0.039	0.566	2.988	-1.152	-1.331	0.382	2.36	-1.349	-0.11910072642039296	-0.49387278014623254	0.18757490818869563	3.56	4.470588235	0.0	0.058823529	0.0	4.176470588	0.4	0.45	3.6	4.1	0.5	5.77	4.0	6.22	
Kopf	head	2.788	2.107	2.755	-1.033	-0.661	-1.272	0.706	0.308	0.183	-1.823	0.623	-0.1712584888390617	-0.04502276077004099	0.1747130952424739	4.75	4.473684211	3.0	0.473684211	0.736842105	1.052631579	0.736842105	0.157894737	4.631578947	2.789473684	0.368421053	5.86	4.45	5.56	
Pfarrer	pastor	0.442	-0.626	-1.147	-1.177	-0.775	1.201	-0.2	-1.017	-0.464	0.265	-0.834	-0.8112003870774247	-1.5143796236876057	-0.8180836195997279	4.37	3.722222222	0.444444444	0.333333333	0.5	3.222222222	1.1	0.5	3.1	2.45	0.6	5.35	3.91	5.38	
Erinnerung	memory	-0.752	-1.413	-0.421	0.178	-0.017	-0.145	-1.066	-0.647	1.652	0.048	-1.204	0.49706963970943224	-0.37630597678415495	0.29429531028406747	2.38	1.315789474	0.421052632	0.473684211	0.526315789	1.052631579	0.571428571	0.380952381	4.285714286	0.857142857	0.428571429	6.58	4.08	5.75	
Weg	away	0.152	-0.295	-0.311	-1.252	-0.544	-1.321	0.61	3.054	-0.706	-1.992	0.929	0.4525393583877247	-0.8707385047403448	1.0247597520929388	2.23	2.59375	0.6875	0.125	0.46875	1.0625	1.121212121	1.545454545	2.060606061	0.666666667	1.060606061	na	na	na	
Haus	house	2.608	1.634	0.849	-0.313	1.71	-0.565	-0.294	0.66	-0.154	-1.293	0.231	0.83946979562177	-1.7736150010094898	0.4669528981245925	5.0	4.875	1.875	0.0625	0.9375	0.4375	2.428571429	2.571428571	3.428571429	0.857142857	1.619047619	7.19	3.95	6.41	
Vater	father	0.957	0.775	-0.717	-0.344	-0.074	0.917	-0.172	0.266	0.671	-0.218	0.178	0.6627193801891393	-0.9232668848360198	0.24712965368201079	4.52	3.833333333	1.833333333	0.0	0.833333333	3.555555556	2.684210526	1.578947368	3.0	2.421052632	1.789473684	6.88	3.68	5.19	
Mund	mouth	1.889	-1.26	2.836	0.667	0.955	0.58	0.628	-1.132	-0.612	2.773	0.912	-0.27137719832274193	0.7914380570899099	0.1121854628323887	4.74	2.947368421	2.578947368	2.0	0.736842105	1.210526316	0.578947368	0.210526316	1.0	4.894736842	0.052631579	5.59	4.14	6.0	
Schrift	writing	1.299	1.131	-0.313	-1.091	-0.659	0.31	-0.186	-1.964	1.554	0.054	-2.181	-0.5421176114021893	-2.486640235946697	0.011340320316958781	3.7	3.947368421	1.315789474	0.105263158	0.105263158	1.210526316	4.80952381	0.142857143	3.666666667	0.095238095	0.285714286	na	na	na	
Papier	paper	2.661	2.124	3.478	-0.401	0.816	-1.987	2.58	-1.627	-0.878	-2.093	-1.643	-0.41422397197904903	-2.457987889002414	0.1271248566493084	4.93	4.315789474	4.210526316	0.105263158	0.684210526	1.894736842	3.45	0.3	1.9	0.35	0.35	5.42	3.52	5.64	
Lehm	clay	1.325	0.588	1.925	0.694	1.362	-1.015	0.437	-0.319	-2.022	-0.605	-0.961	-0.5524846813851282	-1.9737506450051936	0.05550559277948764	4.93	3.4375	3.0	0.125	1.0	0.3125	2.55	0.6	1.5	0.2	0.25	5.45	3.84	5.64	
Mauer	wall	2.373	2.184	0.504	0.011	-0.028	-1.602	-0.39	0.414	-0.472	-1.493	-0.158	-0.5926128697612855	0.24156055475811924	-0.5353870944854051	4.86	4.444444444	2.944444444	0.0	0.0	0.0	1.684210526	1.315789474	1.473684211	0.526315789	1.052631579	5.06	2.9	4.22	
Stein	stone	1.994	1.295	1.975	-0.518	-0.126	-0.789	0.768	-0.607	-1.401	-1.53	-1.395	0.22456592827322536	-0.6638138474536744	0.1301439803194811	4.72	4.111111111	3.555555556	0.388888889	0.055555556	0.722222222	2.952380952	1.333333333	1.095238095	0.380952381	0.19047619	4.81	3.25	7.26	
Hitze	heat	0.758	-0.014	1.53	1.601	2.037	-0.92	0.261	0.609	-0.403	0.614	1.523	-0.48029252011116896	1.41220344957411	-0.8176422928312916	3.79	1.0	4.0625	0.5625	0.6875	0.4375	3.3	2.9	2.95	2.35	3.0	4.77	5.75	5.89	
Ohr	ear	1.925	-1.17	1.72	-1.524	-0.652	1.727	0.004	-1.333	0.849	-0.256	-1.21	0.14626795953944177	-0.7308526532206677	0.12749326672613984	5.0	3.833333333	3.055555556	0.055555556	0.277777778	2.777777778	0.761904762	0.047619048	3.619047619	0.19047619	0.095238095	5.86	3.5	6.74	
Faktum	fact	-0.584	-1.254	-0.472	0.5	0.406	0.163	-1.85	-0.709	0.755	-0.006	-0.515	-0.3630013457839159	-0.24768457555058365	-0.47269590463656547	2.72	3.166666667	0.416666667	0.222222222	0.25	3.055555556	0.333333333	0.060606061	3.636363636	2.0	0.303030303	6.23	3.29	6.0	
Ereignis	event	-0.024	0.345	-0.948	0.026	0.467	1.08	-1.211	-0.088	2.156	-0.027	-0.247	-0.48961044789756786	1.5714798479193424	-1.440569792815565	2.69	4.0	0.235294118	0.058823529	0.529411765	3.470588235	2.0	1.954545455	2.409090909	2.0	1.636363636	6.21	5.1	5.0	
Zeitung	newspaper	1.172	0.943	-0.316	-0.366	-0.384	0.86	-0.039	-1.651	0.819	0.331	-1.178	0.16404562739041564	-0.7808227659211192	0.23989830060526382	4.82	4.294117647	3.470588235	0.0	0.529411765	0.529411765	3.722222222	0.666666667	3.833333333	0.555555556	0.444444444	5.11	2.67	5.05	
Information	information	-0.323	-0.116	-0.288	0.554	0.399	2.001	-0.805	-0.906	2.916	2.217	-0.471	1.2856841424832708	-0.4564907268717033	1.3182601439434707	2.87	3.941176471	0.882352941	0.470588235	0.352941176	4.0	0.631578947	0.105263158	4.052631579	2.210526316	0.052631579	6.33	2.3	5.39	
Kunde	customer	0.157	0.236	-0.169	0.965	0.788	1.094	-0.39	-0.842	0.705	1.989	-0.903	1.3941341732305377	0.3136096952713885	1.5756983964417237	3.82	3.842105263	1.263157895	0.0	0.578947368	3.052631579	1.619047619	1.0	2.19047619	2.142857143	1.095238095	5.86	3.4	6.16	
Laune	mood	-1.252	-1.191	0.065	1.004	0.572	1.665	0.586	0.901	2.242	2.419	1.568	1.578943980105059	1.751509485052226	1.4401645228353777	1.75	2.111111111	0.444444444	0.111111111	0.166666667	1.5	0.666666667	0.444444444	3.833333333	1.111111111	0.722222222	5.29	4.5	5.79	
Geld	money	0.14	-0.407	1.114	0.023	0.021	-1.091	1.159	-0.206	-0.118	-0.412	0.125	1.1435882415917347	0.9866010471692698	1.1768680607464883	4.54	4.333333333	3.666666667	0.0	1.277777778	0.666666667	2.15	0.5	2.0	0.7	0.6	7.1	6.86	6.32	
Telefonat	phone call	0.743	-1.225	-0.577	0.153	0.479	3.011	-0.671	-1.337	1.857	2.55	-0.942	0.16502024771500898	-0.2930247240494242	-0.12141367452988373	na	na	na	na	na	na	na	na	na	na	na	na	na	na	
Wucht	force	-0.43	0.523	1.313	-0.56	-1.177	-0.137	1.147	1.339	-0.579	-1.088	1.483	-0.8583393658562898	2.7031017773753057	-1.0489449744122088	3.0	2.736842105	3.315789474	0.210526316	0.210526316	1.263157895	3.35	1.95	2.1	1.6	1.85	4.17	5.35	4.22	
Gefühl	feeling	-1.603	-2.736	-0.118	0.131	-0.167	-0.021	-1.334	0.696	3.761	0.707	1.316	1.2009156030443497	0.21928226321550603	0.9193666898264645	1.68	1.222222222	4.388888889	0.277777778	0.444444444	1.166666667	3.952380952	3.238095238	4.0	3.0	3.714285714	6.5	3.86	6.5	
Aufprall	impact	1.198	0.802	1.984	0.022	-0.265	-0.496	1.124	2.431	-1.479	-1.106	1.89	-0.8937941376683417	2.0402193532592623	-1.6698863744505426	2.59	3.210526316	1.473684211	0.368421053	0.263157895	2.631578947	2.578947368	2.105263158	2.526315789	1.368421053	2.210526316	5.76	5.85	5.25	
Sitz	seat	-0.153	-0.647	0.96	0.593	0.392	-0.484	-0.131	1.264	-0.554	-0.232	0.707	0.9327376965642475	-1.2610973951471653	1.314597044532686	4.78	3.882352941	4.176470588	0.0	0.058823529	0.588235294	1.095238095	2.761904762	1.428571429	0.19047619	3.380952381	5.22	3.0	6.05	
Gestalt	shape	-0.11	1.983	1.146	-0.082	-0.264	0.039	0.626	0.037	0.663	0.059	0.402	1.2434755465010172	0.7618412728593714	1.0055881395033728	3.14	4.705882353	3.470588235	0.117647059	0.0	0.235294118	2.666666667	0.952380952	2.904761905	0.619047619	0.952380952	5.41	3.6	5.84	
Wunde	wound	1.436	0.66	3.484	-0.103	1.181	-2.484	1.981	0.088	-1.366	-0.714	1.356	-1.3907409890245126	0.9421898208539258	-1.3354924481053703	4.24	3.5	2.944444444	0.111111111	0.555555556	0.555555556	3.238095238	2.285714286	2.571428571	2.095238095	2.19047619	3.24	4.65	3.64	
Pfeil	arrow	1.816	1.813	0.121	-0.472	-0.31	-0.096	0.846	-0.223	-0.429	-0.591	-0.56	0.6259153671574303	1.118837848622402	0.594480896117896	4.97	4.111111111	2.166666667	0.0	0.0	1.111111111	3.19047619	0.523809524	1.904761905	0.095238095	0.857142857	5.24	3.91	5.53	
Gesicht	face	2.652	3.227	2.152	-0.64	-0.251	-1.405	0.124	-0.402	2.117	-0.55	0.514	0.11080795690540297	0.7390772138485013	0.16132184012962034	4.87	4.95	3.1	0.35	0.3	0.25	0.8	0.1	4.6	2.85	0.2	6.36	4.59	5.96	
Schönheit	beauty	-1.139	1.304	0.212	0.496	1.368	-0.071	-0.707	0.181	2.934	0.725	0.938	3.0237189271842566	1.9451341422107546	2.4106046939612518	2.93	4.888888889	1.277777778	0.277777778	0.444444444	1.833333333	1.238095238	0.761904762	3.904761905	1.047619048	0.857142857	7.58	4.89	5.6	
Wurst	sausage	1.472	0.127	2.034	6.038	3.997	-0.158	0.727	-1.168	-1.394	4.166	0.063	0.5044659717527149	-0.03155777111647826	0.6115298751789038	4.88	3.8	2.65	4.3	3.55	0.85	2.058823529	0.352941176	1.941176471	3.764705882	1.058823529	6.32	4.8	6.27	
Stück	piece	1.101	0.739	1.366	-0.059	-0.228	0.369	0.892	-0.428	-0.547	-0.735	-0.634	0.18513571092628	-0.02739743408947637	0.04096460887887039	4.14	3.666666667	2.888888889	0.666666667	0.666666667	1.222222222	2.055555556	0.666666667	2.0	1.0	0.666666667	5.23	3.57	5.11	
Brot	bread	1.711	0.037	2.01	5.745	3.763	-0.808	1.679	-1.424	-1.471	3.558	-0.167	1.4919073225160215	-0.974159969324231	1.4417411219176717	4.92	3.842105263	3.105263158	4.421052632	3.0	0.157894737	2.428571429	0.0	1.619047619	4.619047619	0.380952381	6.52	3.85	6.05	
Stellung	position	-0.379	-0.144	0.014	-0.543	0.006	0.456	0.912	0.874	0.38	0.447	1.077	0.07148896820969071	0.07551104375593146	0.6617809606870466	2.62	3.95	2.15	0.0	0.0	0.65	2.421052632	1.894736842	2.0	1.157894737	2.0	5.56	3.35	4.72	
Nummer	number	0.249	-0.009	-0.389	0.19	0.432	-0.587	-0.646	-0.586	0.051	0.162	-0.058	0.46362902283845814	-0.3344353102521687	0.6701318936547044	3.3	3.631578947	0.578947368	0.105263158	0.052631579	1.631578947	0.80952381	0.047619048	2.571428571	1.428571429	0.333333333	5.59	3.5	6.13	
Wüste	desert	0.746	0.556	-0.102	-0.636	0.223	-0.776	-0.841	0.311	-0.739	-1.633	-0.722	-0.5416172057560694	0.17118815349715452	-1.2023638656977995	4.86	3.6	1.1	1.05	1.05	0.7	0.894736842	1.157894737	2.473684211	1.315789474	1.052631579	5.36	3.5	5.58	
Blick	view	-0.199	2.227	-0.156	-0.601	-0.37	-0.642	-0.222	1.348	1.933	-1.097	0.854	1.1767272530826283	-0.0073106656195457585	1.1858287500704643	3.21	4.95	0.05	0.0	0.05	0.1	0.476190476	0.666666667	4.142857143	0.666666667	0.476190476	6.67	3.3	6.84	
Wut	fury	-0.347	-0.312	-0.574	-0.377	-0.172	1.276	-0.464	0.668	1.834	1.046	0.935	-2.209648863924868	3.0314070648715012	-1.9341744856959548	2.89	3.1875	0.375	0.125	0.125	2.75	1.578947368	1.315789474	3.368421053	2.736842105	1.210526316	2.73	6.12	4.62	
Bauch	belly	2.174	1.194	2.587	-0.37	-0.764	-1.951	0.492	-0.235	-0.366	-0.981	1.954	-0.7085071903763206	1.027622391831537	-0.6102946861105001	4.8	4.105263158	3.210526316	0.421052632	0.105263158	1.157894737	1.380952381	0.333333333	1.619047619	0.857142857	3.714285714	4.37	3.75	4.96	
Promenade	promenade	1.164	1.295	-0.154	0.346	1.11	-1.124	-0.995	1.476	-0.78	-0.872	0.612	1.3447273234726824	-0.7884560290579677	1.0184030458162885	3.87	3.666666667	0.2	0.333333333	0.2	1.0	1.666666667	2.428571429	2.380952381	0.571428571	1.80952381	6.19	3.32	5.77	
Strand	beach	2.303	2.39	1.178	0.578	2.148	-1.204	0.372	1.439	-0.08	-0.94	0.647	0.787624127172207	-0.37210721594598156	-0.11614005925351363	4.79	4.444444444	2.222222222	0.222222222	2.388888889	2.444444444	2.631578947	3.421052632	3.105263158	0.947368421	2.105263158	7.21	5.1	5.7	
Verzweiflung	despair	-1.276	-1.155	-0.613	-0.829	-1.016	0.456	-0.459	0.104	1.943	0.646	0.571	-2.420850095120778	1.9329544724904617	-2.436397518451421	2.21	2.705882353	0.294117647	0.235294118	0.411764706	1.764705882	0.315789474	0.157894737	3.421052632	1.157894737	0.526315789	3.61	4.64	4.05	
Ursprung	origin	0.145	0.463	0.263	1.381	0.957	-0.526	-0.515	0.382	-0.988	-0.547	-0.091	1.1860678628110213	-0.08065515885518572	0.6712829406733235	2.03	2.157894737	0.421052632	0.105263158	0.105263158	1.0	0.2	0.3	2.2	0.55	0.2	5.19	3.7	5.29	
Tier	animal	1.942	1.441	1.773	-0.212	1.822	0.194	0.477	0.783	0.973	-0.521	1.102	1.166745689957602	0.6108594403693949	0.7695200561735144	4.61	4.555555556	3.277777778	1.111111111	2.055555556	3.444444444	3.1	1.25	3.45	1.3	1.45	7.06	4.3	5.72	
Zahl	number	-0.324	0.645	-0.102	-1.668	-1.119	-0.063	0.522	-0.285	0.506	-0.751	-0.472	-0.02978402832120343	0.24842369600825426	0.15111500492983745	3.3	3.631578947	0.578947368	0.105263158	0.052631579	1.631578947	0.80952381	0.047619048	2.571428571	1.428571429	0.333333333	5.59	3.5	6.13	
Leben	life	-0.231	-0.343	-0.365	0.14	-0.059	0.067	0.058	1.101	1.499	0.848	1.483	1.207078203490308	0.42694997150204145	0.9748169801147739	2.69	3.35	2.5	2.3	2.2	2.9	3.476190476	3.285714286	4.0	3.571428571	3.571428571	6.68	5.59	5.89	
Acht	eight	-0.489	-0.586	-0.249	-0.455	-0.726	0.072	-0.028	-0.697	-0.456	-0.348	-0.772	0.3641696984575745	-0.9288294113355545	0.6870216388132698	4.04	3.526315789	1.0	0.157894737	0.157894737	2.0	1.647058824	1.0	2.705882353	1.764705882	0.882352941	5.37	3.48	5.26	
Zeichen	sign	1.109	1.097	-0.179	-1.078	-0.967	-0.143	-0.198	-0.995	0.88	-0.784	-1.599	0.19528786015983474	-1.1729150571428393	0.5722833282743949	4.62	4.294117647	1.470588235	0.117647059	0.352941176	0.764705882	3.705882353	0.411764706	3.058823529	1.176470588	0.823529412	5.27	3.19	5.38	
Neubeginn	new beginning	-1.016	-0.139	-0.552	-0.747	-0.948	-0.779	-0.129	1.053	-0.224	-1.267	0.184	0.18096110404801422	0.5392941924388293	0.3213028570526389	na	na	na	na	na	na	na	na	na	na	na	na	na	na	
Baumeister	builder	0.739	0.405	-1.22	0.031	0.156	0.093	0.475	-0.485	0.006	-0.186	-0.245	-0.2840097926832956	0.6367059767313897	-0.031198990863705364	3.97	3.25	1.0	0.0	0.125	1.9375	3.555555556	1.611111111	2.666666667	0.944444444	1.555555556	5.95	3.32	6.93	
Stammgast	regular guest	0.917	-0.494	-0.664	1.689	1.505	0.666	-0.809	0.434	-0.086	1.842	0.574	0.20295748243870607	-0.08354834126107602	-0.16806680818031774	na	na	na	na	na	na	na	na	na	na	na	na	na	na	
Wiedereröffnung	reopening	-0.896	0.823	-0.19	0.183	0.298	-0.018	-0.702	-0.052	0.215	0.788	-0.181	0.6531214048039814	0.6518018203672529	0.35689781176784324	na	na	na	na	na	na	na	na	na	na	na	na	na	na	
Ungeduld	impatience	-1.054	-1.865	-0.385	-0.757	-1.306	0.552	-0.559	0.821	0.182	0.852	1.21	-0.46846446610509673	1.1967919013022255	-0.6221847704012599	1.93	3.052631579	0.210526316	0.0	0.0	2.421052632	0.619047619	0.714285714	3.142857143	0.952380952	0.238095238	3.63	4.22	4.29	
Zahn	tooth	1.403	-0.594	1.835	-0.216	-0.274	-0.336	-0.398	-1.323	-1.078	-0.042	-1.066	-0.2527509918341148	0.24100603054170416	-0.3952213670653739	4.89	3.25	3.375	0.8125	0.0625	0.5	0.666666667	0.0	1.5	4.111111111	0.0	5.06	3.52	4.89	
Falke	falcon	0.755	0.618	-1.332	-1.843	-2.024	0.193	-1.317	-1.642	-0.582	-1.441	-1.154	0.5725222937747529	-0.34284464045726915	0.18292078767909642	4.9	4.45	1.15	0.0	0.4	2.7	1.315789474	0.210526316	2.684210526	0.157894737	0.105263158	5.5	5.0	5.29	
Becher	mug	2.145	0.281	1.963	2.223	0.592	-0.04	1.195	-2.622	-1.769	1.983	-1.877	0.422123506598356	-1.117569369091382	0.4098610189385163	4.8	3.105263158	3.105263158	0.157894737	0.105263158	0.368421053	2.65	0.45	1.95	2.15	0.5	4.16	3.83	4.82	
Rest	rest	-0.173	-0.252	-0.04	0.015	-0.1	-1.205	-0.42	-0.395	-1.42	-1.398	-0.465	-0.14642569190555152	-1.3844058547936398	0.00540178993447198	3.03	2.277777778	1.333333333	0.0	0.0	0.611111111	2.6	2.6	2.95	1.9	2.65	7.86	2.29	5.78	
Kind	child	1.804	0.666	1.561	-0.516	0.349	0.793	0.861	0.406	0.563	0.122	1.407	1.3537761205925654	-0.3820406051166052	0.29616810655021353	4.78	4.2	2.266666667	0.066666667	1.4	3.266666667	2.3	1.55	2.4	1.75	1.2	7.2	5.33	5.2	
Sohn	son	1.179	0.599	-0.245	-0.32	-0.17	1.208	0.061	-0.554	-0.391	0.156	-0.433	-0.007059129156140731	-0.736798264363481	-0.2735346148990196	4.14	4.2	2.0	0.0	0.8	3.75	0.666666667	0.523809524	1.761904762	1.19047619	0.619047619	6.91	4.43	5.0	
Tochter	daughter	0.822	0.522	0.313	0.072	0.51	1.232	-0.642	-1.068	0.519	0.578	-0.368	0.7016896963111567	-0.22552316865057495	0.2561097679436979	4.79	3.736842105	1.631578947	0.0	0.631578947	2.789473684	1.777777778	1.444444444	1.888888889	1.833333333	1.111111111	6.73	5.0	5.06	
Frau	woman	1.338	2.255	1.69	-0.695	0.637	0.413	1.284	0.683	1.226	-0.081	2.188	1.195489863819405	0.15299357666350677	0.7750869864929475	4.46	4.722222222	3.611111111	1.277777778	2.388888889	4.0	2.65	2.4	4.05	2.9	2.95	7.09	3.8	5.93	
Klappe	flap	1.253	0.118	2.426	-1.075	-1.195	0.281	1.301	-0.505	-1.375	-0.328	0.204	-0.054263536614859234	-0.005453932886307235	0.2751392461053748	4.14	4.15	1.8	0.0	0.0	2.2	2.571428571	0.666666667	1.333333333	0.857142857	0.904761905	5.74	3.45	4.58	
Schluck	gulp	0.981	-1.797	-0.041	2.934	1.428	0.603	-1.251	-1.711	-0.492	3.406	-0.4	0.027072295754394557	0.18467312953703557	-0.09310507092952938	4.19	2.176470588	0.882352941	3.235294118	0.470588235	2.764705882	0.222222222	0.111111111	1.166666667	4.722222222	1.111111111	4.7	3.48	4.6	
Wasser	water	1.192	0.466	1.343	2.078	2.974	-0.998	0.549	1.062	-1.078	1.145	1.824	0.9871595222409315	-0.09536733552132057	0.9240909922541356	5.0	4.19047619	3.523809524	3.666666667	0.571428571	2.857142857	3.210526316	1.894736842	2.842105263	4.0	2.105263158	7.0	3.71	6.12	
Foyer	foyer	1.389	2.187	0.463	-0.012	0.797	-0.237	-1.011	0.032	0.314	-0.525	-0.328	0.852556869982866	-0.8652641231760402	0.36649543669486095	4.52	4.125	0.8125	0.0	0.0	0.125	1.058823529	2.647058824	2.235294118	0.470588235	1.058823529	5.95	3.55	5.54	
Berührung	contact	0.787	0.928	3.467	-0.386	0.925	0.072	3.458	1.888	-0.166	-0.05	1.685	0.2994981684823939	1.4642051990474256	0.26890251014895844	3.86	2.666666667	3.866666667	0.2	0.4	2.0	3.80952381	2.428571429	2.333333333	2.285714286	1.666666667	6.17	3.33	5.78	
Haut	skin	1.059	0.007	2.93	0.357	1.14	-2.052	0.386	0.318	-0.176	0.378	2.009	-0.45480289095786064	0.5026580365616059	-0.3980841459240403	4.79	4.3	4.45	0.4	1.1	0.1	4.0	3.19047619	3.714285714	2.714285714	3.142857143	5.78	3.25	5.0	
Zebra	zebra	1.171	0.975	-0.704	0.105	0.658	-0.529	-1.548	-0.009	0.23	-1.137	-1.025	0.9516039614184665	-0.23889952948170698	-0.029154111927497235	4.86	4.0	1.944444444	0.111111111	1.277777778	1.944444444	1.142857143	0.666666667	2.619047619	0.571428571	0.571428571	6.47	3.9	5.26	
