word	animate_prototypicality	natural_prototypicality	inanimate_prototypicality	innatural_prototypicality	
Baumeister	0.2646	0.28189	0.29134	0.28518	
Stammgast	0.38246	0.41506	0.41451	0.3981	
Wiedereröffnung	0.21853	0.25555	0.30642	0.30286	
Ungeduld	0.33239	0.36919	0.41393	0.4084	
Zahn	0.36199	0.38424	0.43437	0.437	
Falke	0.57897	0.49321	0.36378	0.36548	
Becher	0.29813	0.36967	0.48649	0.48518	
Rest	0.28423	0.32342	0.40138	0.40421	
Kind	0.41959	0.44085	0.48981	0.4924	
Sohn	0.26084	0.26709	0.28018	0.28016	
Tochter	0.27791	0.30457	0.32246	0.31428	
Frau	0.39552	0.41979	0.47457	0.47747	
Klappe	0.38794	0.39666	0.54654	0.58329	
Schluck	0.41466	0.44787	0.47389	0.46454	
Wasser	0.37563	0.42659	0.44673	0.42764	
Foyer	0.28725	0.31459	0.42468	0.44198	
Berührung	0.23551	0.30846	0.43453	0.43535	
Haut	0.38538	0.42539	0.43181	0.41392	
Zebra	0.60833	0.55499	0.42409	0.41027	
Schatz	0.41703	0.44272	0.4558	0.4463	
Zeiger	0.3601	0.4047	0.51936	0.52973	
Uhr	0.26643	0.2981	0.45637	0.48522	
Mitternacht	0.42331	0.44191	0.46827	0.46576	
Zeile	0.26997	0.32028	0.42663	0.43229	
Buch	0.37184	0.40906	0.44389	0.43528	
Zeit	0.27661	0.31851	0.41506	0.42186	
Feierabend	0.33703	0.35351	0.44016	0.45578	
Gummi	0.32539	0.39352	0.48944	0.48377	
Entscheidung	0.27829	0.32464	0.40085	0.39989	
Handeln	0.25515	0.28303	0.325	0.32307	
Mann	0.43961	0.4441	0.49394	0.50449	
Einladung	0.31711	0.36223	0.42469	0.42033	
Reaktion	0.2055	0.23801	0.2882	0.28657	
Ewigkeit	0.31742	0.34138	0.39434	0.39712	
Sterben	0.35244	0.39096	0.39567	0.37808	
Steigung	0.16137	0.22839	0.32538	0.32103	
Pedal	0.17709	0.20044	0.37775	0.41605	
Bedeutung	0.27453	0.31839	0.34747	0.33448	
Gefängnis	0.28367	0.31423	0.3991	0.40786	
Auge	0.33814	0.36255	0.37167	0.36189	
Röhre	0.27686	0.32278	0.4409	0.45188	
Zeitreise	0.3677	0.39733	0.43245	0.42745	
Abenteuer	0.41779	0.42082	0.3803	0.36627	
Augenblick	0.38981	0.41371	0.51968	0.53711	
Moment	0.35182	0.38962	0.52898	0.54943	
Zeitschrift	0.29397	0.32181	0.37864	0.38077	
Umstand	0.30165	0.34602	0.37551	0.36231	
Tür	0.36113	0.38418	0.5389	0.57046	
Ergebnis	0.22468	0.26365	0.31896	0.31573	
Hand	0.34701	0.39244	0.55547	0.57904	
Mitte	0.3213	0.36619	0.44946	0.45102	
Brille	0.43515	0.44073	0.53954	0.5633	
Glas	0.28867	0.37064	0.49673	0.49321	
Tisch	0.33292	0.40907	0.57813	0.58921	
Rechenschaft	0.26973	0.29608	0.39349	0.40775	
Sinn	0.2769	0.31231	0.40095	0.40854	
Öl	0.25407	0.36962	0.44026	0.40577	
Raum	0.28115	0.32381	0.43359	0.44373	
Million	0.35928	0.3668	0.39605	0.39968	
Zelt	0.38475	0.41438	0.5099	0.52177	
Naht	0.27725	0.31117	0.40068	0.4092	
Zeremonie	0.23375	0.29332	0.36852	0.36129	
Altar	0.22536	0.28147	0.40032	0.40694	
Ding	0.37587	0.42241	0.53903	0.549	
Sache	0.28951	0.33765	0.45757	0.46799	
Hütte	0.29857	0.33202	0.39187	0.39223	
Rotwein	0.21564	0.35938	0.37845	0.31658	
Hose	0.45333	0.47952	0.58024	0.59494	
Hemd	0.40308	0.4345	0.53721	0.5502	
Haar	0.37883	0.4242	0.43297	0.41327	
Mal	0.34765	0.39417	0.50474	0.51312	
Ziffer	0.2925	0.30602	0.38952	0.40576	
Zigarette	0.35692	0.42502	0.56517	0.57181	
Mundwinkel	0.41707	0.42815	0.46137	0.46427	
Dämon	0.46923	0.46436	0.41705	0.40463	
Zivilisation	0.31018	0.32869	0.33786	0.33092	
Menschheit	0.31173	0.32406	0.33862	0.33604	
Schulter	0.43282	0.44004	0.53417	0.55588	
Zubereitung	0.29271	0.41687	0.45041	0.40143	
Welpe	0.5565	0.49906	0.38864	0.38262	
Ruhe	0.24712	0.2651	0.34964	0.36424	
Zufahrt	0.23442	0.28062	0.34703	0.34353	
Strecke	0.23281	0.27667	0.33887	0.33527	
Meter	0.23244	0.27227	0.4265	0.45055	
Garage	0.35876	0.39909	0.54408	0.56493	
Letzte	0.34475	0.35116	0.37282	0.37487	
Zufriedenheit	0.22173	0.24088	0.2964	0.30241	
Wärme	0.26397	0.32032	0.38038	0.3703	
Zugvogel	0.51041	0.42978	0.29912	0.29831	
Jahr	0.39561	0.44587	0.48248	0.46826	
Zukunft	0.33882	0.37015	0.40944	0.4049	
Junge	0.48433	0.50721	0.46933	0.44666	
Möglichkeit	0.271	0.30433	0.41774	0.43324	
Zunge	0.43109	0.45604	0.48817	0.48431	
Hirn	0.36052	0.39093	0.42819	0.42344	
Knochen	0.38903	0.39616	0.42556	0.4293	
S	0.15131	0.18824	0.25762	0.25949	
Zusammenhang	0.26842	0.30614	0.37674	0.37824	
Zentimeter	0.25526	0.30602	0.31543	0.2938	
Unterfangen	0.28051	0.3053	0.39126	0.403	
Tod	0.29812	0.32197	0.36072	0.35962	
Auto	0.36679	0.39217	0.5011	0.51874	
Mimik	0.4041	0.35186	0.35511	0.37898	
Fremde	0.38564	0.40181	0.39965	0.39038	
Waffe	0.35782	0.35814	0.48768	0.52272	
Funk	0.33044	0.32856	0.42571	0.45278	
Zwei	0.36531	0.40187	0.47383	0.47594	
Atem	0.33454	0.37075	0.42762	0.42577	
Beamter	0.21448	0.22431	0.25168	0.25414	
Weile	0.34097	0.38898	0.494	0.50014	
Ente	0.62218	0.58856	0.47226	0.45336	
Kerl	0.48744	0.50013	0.53518	0.53764	
Nacht	0.42802	0.46067	0.48213	0.47172	
Begegnung	0.34192	0.36474	0.36958	0.35933	
Garten	0.35022	0.47045	0.48108	0.42733	
Unterwäsche	0.33503	0.36535	0.49683	0.5186	
Einheit	0.19126	0.21596	0.32519	0.34377	
Stufe	0.16011	0.19621	0.27679	0.28216	
Neid	0.2584	0.30972	0.31066	0.28637	
Arroganz	0.28635	0.3184	0.38214	0.38429	
Brunnen	0.34661	0.39369	0.44837	0.44083	
Sportplatz	0.27128	0.31745	0.3562	0.34485	
Richtung	0.26139	0.29675	0.37796	0.38354	
Zwerg	0.49088	0.50114	0.38936	0.35181	
Ecke	0.37557	0.42483	0.51631	0.51799	
Eindruck	0.18981	0.23975	0.36368	0.37469	
Anwesenheit	0.22154	0.24483	0.26433	0.25833	
Phantom	0.46104	0.451	0.46503	0.47221	
Zwilling	0.40581	0.3908	0.37241	0.37298	
Zwischenraum	0.24026	0.28376	0.44032	0.46329	
Sprung	0.3548	0.37524	0.43668	0.44334	
Dunkeln	0.34446	0.36464	0.3968	0.39541	
Felsen	0.38326	0.44602	0.44129	0.40975	
Licht	0.27942	0.35869	0.43394	0.41746	
Vorhang	0.34624	0.39067	0.52464	0.54053	
Stoff	0.28463	0.33381	0.39966	0.39447	
Diktator	0.2881	0.28297	0.3058	0.31369	
Mittel	0.17761	0.22296	0.27492	0.26793	
Angehörige	0.14399	0.14785	0.1714	0.17578	
Spezies	0.44937	0.41914	0.26916	0.23979	
Form	0.2593	0.28286	0.36962	0.38222	
Größe	0.3688	0.36128	0.36162	0.36407	
Farbe	0.35452	0.43952	0.46023	0.42559	
Spaß	0.38974	0.4161	0.49048	0.49792	
Treppe	0.31886	0.36927	0.49704	0.50852	
Brücke	0.34396	0.3661	0.42152	0.42575	
Turm	0.35121	0.38354	0.45381	0.45746	
Wiese	0.42106	0.51515	0.5049	0.45719	
Einzige	0.36628	0.38466	0.3734	0.36062	
Einlaß	0.35181	0.3834	0.49122	0.50572	
Musik	0.30537	0.34928	0.4381	0.44172	
Küche	0.32327	0.41964	0.48388	0.45627	
Park	0.3534	0.39668	0.38657	0.36262	
Aufzug	0.34131	0.3594	0.49555	0.52427	
Lager	0.16807	0.21477	0.34213	0.35567	
Hund	0.67116	0.61353	0.54487	0.55029	
Fenster	0.31977	0.35587	0.48874	0.50827	
Kronprinz	0.27847	0.2948	0.30959	0.30532	
Fuß	0.27744	0.31088	0.42516	0.44084	
Gast	0.25632	0.28533	0.31298	0.30651	
Teich	0.41138	0.44157	0.41384	0.39085	
Profit	0.29771	0.33402	0.37967	0.37473	
Arbeit	0.24547	0.2773	0.35969	0.36728	
Atemzug	0.32894	0.33232	0.39667	0.41212	
Sonne	0.35249	0.42317	0.44237	0.41395	
Lebensabend	0.2259	0.23103	0.22182	0.21618	
Schweiß	0.30724	0.34438	0.42008	0.42315	
Wahl	0.26917	0.31456	0.38456	0.38233	
Mahlzeit	0.32082	0.39472	0.42844	0.40269	
Platz	0.24177	0.28006	0.34257	0.34162	
Leid	0.24992	0.28164	0.31743	0.31201	
Nachwuchs	0.39945	0.38204	0.31019	0.29692	
Vorwurf	0.26879	0.30138	0.36088	0.36164	
Unverständnis	0.25801	0.28826	0.37512	0.38465	
Gelegenheit	0.33256	0.37607	0.47635	0.48327	
Besuch	0.27136	0.30028	0.34527	0.34365	
Ordnung	0.17494	0.19203	0.21582	0.21404	
Unterhaltung	0.30966	0.33086	0.38558	0.39015	
Oberfläche	0.23305	0.31251	0.40351	0.3915	
Seite	0.30664	0.3534	0.44352	0.44619	
Flasche	0.3617	0.44674	0.5873	0.58619	
Sekunde	0.28829	0.29764	0.36937	0.38425	
Zufall	0.39177	0.42856	0.45713	0.4469	
See	0.35999	0.36912	0.34552	0.33359	
Elfe	0.55629	0.55206	0.47359	0.45188	
Mißgeschick	0.48206	0.46262	0.42846	0.42643	
Vergnügen	0.35875	0.38975	0.43451	0.43161	
Direktor	0.23697	0.25756	0.29633	0.29693	
Polizist	0.38579	0.38249	0.43025	0.44398	
Finanz	0.18429	0.23008	0.2725	0.26263	
Turner	0.32166	0.36147	0.40197	0.39391	
Art	0.36193	0.39703	0.40034	0.38391	
Denken	0.28925	0.31892	0.3965	0.40361	
Studieren	0.19363	0.23213	0.29636	0.29593	
Beton	0.25606	0.32708	0.45317	0.45483	
Dunst	0.31413	0.41005	0.42762	0.38717	
Müdigkeit	0.25613	0.30302	0.32059	0.30302	
Ziel	0.25031	0.28227	0.33933	0.33975	
Alternative	0.29688	0.34839	0.42716	0.42447	
Welt	0.34583	0.36325	0.38635	0.3837	
Tätowierung	0.35999	0.365	0.41986	0.43182	
Bahnhof	0.27204	0.31796	0.40175	0.40312	
Betrieb	0.23794	0.27088	0.35804	0.36647	
Ende	0.31895	0.35572	0.45101	0.4597	
Landung	0.31853	0.34844	0.38159	0.37606	
Morgen	0.35663	0.4073	0.44405	0.42979	
Überraschung	0.39949	0.44358	0.4816	0.47061	
Gedanke	0.31753	0.35593	0.4464	0.45299	
Mutter	0.36485	0.3891	0.41166	0.40564	
Schuld	0.28424	0.31963	0.37478	0.37297	
Schicksal	0.34325	0.35485	0.34163	0.33151	
Bild	0.32477	0.37632	0.42031	0.40777	
Anfang	0.37837	0.42777	0.50703	0.50521	
Schritt	0.257	0.28339	0.38696	0.40297	
Abend	0.34316	0.38934	0.45446	0.45028	
Luft	0.34205	0.38452	0.47671	0.48183	
Schreck	0.48971	0.48659	0.50767	0.51353	
Glied	0.23423	0.23476	0.30081	0.31835	
Baum	0.43609	0.5531	0.51117	0.44393	
Fehler	0.21901	0.25996	0.33668	0.33854	
Vortag	0.25802	0.30865	0.35977	0.34987	
Koffer	0.44317	0.4623	0.60649	0.63667	
Wahrheit	0.33818	0.37115	0.4412	0.44453	
Antwort	0.33865	0.36186	0.43086	0.43842	
Mark	0.2976	0.33144	0.37984	0.37682	
Arbeiterin	0.33477	0.33142	0.3297	0.32975	
Geräusch	0.42172	0.41419	0.48089	0.50178	
Situation	0.29875	0.3034	0.36346	0.37722	
Spektakel	0.33679	0.34833	0.40424	0.41353	
Ursache	0.25725	0.2844	0.30368	0.29573	
Bauchschmerz	0.31279	0.33954	0.32705	0.31021	
Übelkeit	0.20148	0.26723	0.27783	0.24974	
Ärztin	0.23138	0.26543	0.30539	0.30011	
Sein	0.33995	0.37795	0.44955	0.45097	
Berechtigung	0.22499	0.24962	0.33873	0.35161	
Troll	0.45612	0.4628	0.45749	0.45153	
Prinzessin	0.37101	0.39627	0.37633	0.35792	
Lösung	0.1871	0.22347	0.3237	0.33437	
Vorliebe	0.35659	0.42288	0.45468	0.43181	
Straße	0.2961	0.32661	0.37566	0.37438	
Land	0.296	0.34211	0.37961	0.36786	
Weise	0.32227	0.33619	0.39806	0.40797	
Flüssigkeit	0.23695	0.31688	0.42176	0.4134	
Korn	0.32183	0.42622	0.48679	0.45444	
Wille	0.26326	0.27985	0.33647	0.34384	
Schlaf	0.37097	0.37739	0.4195	0.42719	
Frage	0.33109	0.35453	0.42944	0.43856	
Aufmerksamkeit	0.3258	0.33789	0.39625	0.40601	
Amt	0.17826	0.20753	0.27165	0.27551	
Bitte	0.29695	0.34635	0.44135	0.44418	
Buchstabe	0.30701	0.32234	0.35067	0.35058	
Satz	0.23746	0.2777	0.39011	0.40225	
Grund	0.34658	0.38893	0.43922	0.43264	
Gegend	0.30831	0.38519	0.39817	0.36528	
Schauplatz	0.2468	0.279	0.28807	0.27495	
Dämpfer	0.21942	0.27613	0.46776	0.49451	
Abendessen	0.32532	0.39649	0.44779	0.42822	
Heimfahrt	0.36032	0.38562	0.43613	0.43747	
Magen	0.37283	0.4103	0.39225	0.36872	
Bewährungsprobe	0.34413	0.3891	0.4531	0.44916	
Gang	0.28139	0.30986	0.40494	0.41753	
Wald	0.37204	0.44074	0.41244	0.37158	
Wind	0.36345	0.44178	0.50303	0.48282	
Tornado	0.34204	0.36918	0.37645	0.36489	
Anstrengung	0.23535	0.27217	0.36097	0.36808	
Teddy	0.44812	0.45416	0.46051	0.45813	
Pflegefamilie	0.29788	0.33084	0.34502	0.33283	
Herz	0.39301	0.4373	0.47964	0.46981	
Strafe	0.32156	0.35258	0.39388	0.39011	
Einbruch	0.27588	0.31078	0.37469	0.37559	
Biß	0.30466	0.33193	0.3343	0.32142	
Anblick	0.37724	0.41062	0.43752	0.42845	
Enkelin	0.28616	0.31222	0.322	0.31181	
Penner	0.44537	0.46816	0.48079	0.47243	
Freundschaft	0.30815	0.33732	0.33851	0.32441	
Bearbeiter	0.24558	0.25044	0.28632	0.29338	
Gespräch	0.31767	0.35299	0.40652	0.40419	
Überfall	0.36272	0.3812	0.41853	0.41933	
Tankstelle	0.3486	0.38681	0.48014	0.48753	
Vorlesen	0.34088	0.34385	0.396	0.40819	
Ufer	0.32299	0.36347	0.36666	0.34782	
Erlebnis	0.28672	0.32606	0.35251	0.34083	
König	0.33262	0.32354	0.32065	0.32304	
Stunde	0.33033	0.35459	0.43174	0.44112	
Krankheit	0.30833	0.36235	0.33157	0.297	
Entscheidungsfreiheit	0.24952	0.26607	0.35367	0.36979	
Verhaltensweise	0.42011	0.35281	0.29093	0.30348	
Kleingeld	0.34914	0.38318	0.44103	0.44042	
Winter	0.35328	0.42453	0.41699	0.38082	
Hindernis	0.26105	0.2882	0.3692	0.37852	
Pullover	0.47154	0.49061	0.54888	0.55494	
Komplexe	0.17834	0.20197	0.28073	0.29131	
Re	0.26366	0.26766	0.29535	0.30045	
Bahn	0.26431	0.30946	0.39894	0.40229	
Feuer	0.35375	0.42601	0.47344	0.45218	
Freund	0.43874	0.44918	0.46383	0.46177	
Realität	0.28256	0.30222	0.40095	0.41864	
Blitz	0.42722	0.47772	0.51869	0.50548	
Psychiater	0.25641	0.28211	0.30586	0.29983	
Los	0.27485	0.29938	0.35755	0.36166	
Gelächter	0.36929	0.3997	0.46248	0.46486	
Gatte	0.35733	0.39576	0.36939	0.34313	
Punkt	0.23986	0.28729	0.39039	0.39657	
Feierlichkeit	0.23095	0.26799	0.3557	0.3624	
Tal	0.23703	0.30749	0.32581	0.2976	
Trauer	0.3125	0.3687	0.40017	0.38202	
Mieter	0.32028	0.32872	0.37995	0.38942	
Krankenhaus	0.26414	0.29248	0.38472	0.39662	
Wendung	0.32034	0.36198	0.44828	0.45219	
Bedenken	0.27872	0.3164	0.38745	0.38905	
Qual	0.26262	0.31378	0.38995	0.3868	
Zimmer	0.38331	0.42637	0.50926	0.51137	
Tropfen	0.32085	0.41785	0.5004	0.47763	
Angst	0.40557	0.42301	0.44721	0.44468	
Reh	0.61751	0.58117	0.42781	0.39981	
Flucht	0.39509	0.39482	0.39458	0.39343	
Griff	0.36158	0.40756	0.54356	0.55927	
Handgelenk	0.29936	0.31038	0.46947	0.50801	
Gebüsch	0.40722	0.48455	0.42536	0.37174	
Erkenntnis	0.31583	0.37041	0.41013	0.39502	
Elf	0.32099	0.34759	0.36769	0.36003	
Krieg	0.27373	0.31193	0.34519	0.33599	
Abteil	0.26937	0.28661	0.39812	0.42055	
Unglück	0.30078	0.3182	0.33607	0.3321	
Grinsen	0.45254	0.46516	0.51138	0.5171	
Schlüssel	0.35187	0.39136	0.48651	0.4938	
Zustand	0.17961	0.22227	0.31523	0.32096	
Konzentration	0.16312	0.22251	0.27546	0.26229	
Intensivstation	0.2789	0.30934	0.38919	0.39662	
Böse	0.45301	0.47417	0.46626	0.45287	
Beruf	0.17162	0.18896	0.27758	0.29385	
Gepäck	0.27671	0.29284	0.41628	0.44254	
Brust	0.40928	0.40078	0.43186	0.44326	
Vergangenheit	0.24499	0.29019	0.32308	0.31062	
Nähe	0.29895	0.33574	0.35552	0.34311	
Wissen	0.28779	0.33136	0.39377	0.3902	
Erwachen	0.4083	0.42239	0.42909	0.4232	
Gegenteil	0.24013	0.29554	0.40247	0.40603	
Fall	0.30564	0.34322	0.44165	0.4509	
Glück	0.42746	0.45524	0.45398	0.43946	
Preis	0.36036	0.387	0.4115	0.40493	
Gebäude	0.18907	0.24158	0.36807	0.37861	
Auskunft	0.24468	0.2795	0.37097	0.37972	
Band	0.24532	0.27465	0.36793	0.37973	
Krönung	0.22573	0.26513	0.34269	0.34548	
Schriftzeichen	0.25241	0.29734	0.36793	0.36613	
Herr	0.29762	0.29658	0.30556	0.30765	
Mädchen	0.43108	0.46437	0.47092	0.45603	
Gefallen	0.29745	0.34079	0.39224	0.38567	
Schlimmste	0.35262	0.38506	0.39759	0.38501	
Ritual	0.25341	0.29536	0.367	0.36687	
Zusammentreffen	0.3099	0.3402	0.35529	0.34454	
Kraft	0.19297	0.23589	0.34982	0.36127	
Angebot	0.32244	0.36821	0.42315	0.41637	
Architekturbüro	0.21967	0.23589	0.25291	0.2495	
Heimat	0.26086	0.31877	0.29048	0.25495	
Sand	0.31657	0.40387	0.44062	0.40952	
Vergleich	0.32292	0.33534	0.35159	0.34941	
Reise	0.32582	0.35723	0.36601	0.35294	
Tatsache	0.34002	0.37971	0.43705	0.43371	
Mama	0.50013	0.50499	0.49712	0.49115	
Körper	0.3295	0.33716	0.39093	0.40144	
Jacke	0.45251	0.47113	0.58127	0.60213	
Höhe	0.25905	0.31046	0.36351	0.35378	
Tiefe	0.21343	0.24066	0.3212	0.3305	
Freude	0.35535	0.40851	0.45215	0.43867	
Problem	0.29178	0.3109	0.39839	0.41315	
Schwerkraft	0.30154	0.35639	0.47949	0.48766	
Karte	0.27491	0.32191	0.38709	0.38274	
Pfütze	0.45845	0.48455	0.52558	0.52358	
Hilfe	0.25527	0.27863	0.38748	0.40637	
Mut	0.37612	0.39405	0.40706	0.40126	
Chance	0.3719	0.39799	0.44756	0.44823	
Bessere	0.26046	0.29129	0.36526	0.37091	
Film	0.38964	0.4365	0.45803	0.44118	
Ausdruck	0.28077	0.31373	0.40559	0.4152	
Alptraum	0.43126	0.45773	0.4484	0.43222	
Wirklichkeit	0.36305	0.3836	0.44359	0.44977	
Anhänger	0.18686	0.19083	0.30965	0.34053	
Konto	0.24773	0.28512	0.34759	0.34702	
Monat	0.30004	0.33578	0.40165	0.40263	
Haß	0.31844	0.35851	0.38697	0.37543	
Dirigent	0.17722	0.20944	0.25135	0.24763	
Inhalt	0.26348	0.30879	0.41114	0.41801	
Flur	0.23538	0.29891	0.38248	0.37575	
Teppich	0.33617	0.40445	0.49292	0.48506	
Hauptgrund	0.35074	0.37247	0.40138	0.39835	
Herrscher	0.2377	0.23278	0.26498	0.27556	
Vorschlag	0.31795	0.34136	0.39111	0.39323	
Sprache	0.28701	0.305	0.31472	0.30823	
Höhepunkt	0.22055	0.25354	0.30989	0.30973	
Persönlichkeit	0.23616	0.25187	0.33824	0.35444	
Kleine	0.4532	0.45527	0.45047	0.44679	
Miene	0.4107	0.38958	0.45536	0.48231	
Lohn	0.249	0.26538	0.3181	0.32453	
Dankbarkeit	0.34248	0.36263	0.39221	0.39012	
Geruch	0.28268	0.37315	0.35269	0.30421	
Minute	0.30027	0.32493	0.42194	0.43678	
Gute	0.28706	0.32122	0.3579	0.35148	
Nagel	0.39754	0.42782	0.52142	0.5324	
Name	0.28989	0.32681	0.3029	0.27823	
Melodie	0.32801	0.36053	0.44093	0.4474	
Plan	0.33885	0.379	0.43444	0.43034	
Rahmen	0.25023	0.28845	0.37912	0.38605	
Schmerz	0.26969	0.34081	0.42484	0.41463	
Schnee	0.39179	0.47254	0.48094	0.44472	
Tiger	0.65706	0.60936	0.4754	0.45797	
Tante	0.38391	0.42527	0.43973	0.42346	
Gefolgsleute	0.19726	0.21834	0.25667	0.25705	
Ton	0.23277	0.27558	0.39293	0.40527	
Sender	0.32867	0.35396	0.41734	0.42238	
Traum	0.42529	0.4598	0.49021	0.48145	
Rose	0.36079	0.49377	0.50407	0.44429	
Begriff	0.24858	0.27877	0.35234	0.35821	
Abschied	0.311	0.35265	0.41957	0.41809	
Tumult	0.32858	0.3693	0.43621	0.4351	
Typ	0.29194	0.29871	0.35424	0.36577	
Stuhl	0.31501	0.33724	0.45384	0.47524	
Unfall	0.28577	0.30957	0.369	0.37375	
Versuch	0.30294	0.34098	0.43203	0.439	
Wärter	0.3713	0.33793	0.40578	0.43911	
Nebel	0.36777	0.42686	0.42907	0.40121	
Wunsch	0.26411	0.31187	0.41416	0.41989	
Ausführung	0.29033	0.30442	0.42153	0.44692	
Zauberer	0.4551	0.46232	0.43728	0.42554	
Leute	0.32049	0.33947	0.43088	0.44672	
Dame	0.35843	0.3868	0.41621	0.41022	
Energie	0.25114	0.28412	0.35688	0.36122	
Auftrag	0.32142	0.34061	0.41298	0.42338	
Eltern	0.3068	0.32154	0.34004	0.33747	
Enkel	0.25417	0.26258	0.27912	0.27908	
Oma	0.38425	0.38571	0.4096	0.41444	
Erleichterung	0.24552	0.27354	0.39283	0.41251	
Entsetzen	0.35973	0.38531	0.4549	0.46146	
Bruder	0.2946	0.29635	0.32481	0.33108	
Finger	0.37332	0.40578	0.52834	0.5465	
Erwartung	0.32071	0.35214	0.41214	0.41341	
Frosch	0.6947	0.6471	0.52048	0.50495	
Maulwurf	0.62098	0.57874	0.46699	0.45336	
Gier	0.28227	0.343	0.34898	0.32168	
Macht	0.30635	0.33967	0.4286	0.43716	
Glut	0.29056	0.36852	0.39853	0.36996	
Hemmschwelle	0.20172	0.23088	0.34057	0.35717	
Wesen	0.41723	0.37908	0.36754	0.38071	
Hexe	0.47355	0.48451	0.45133	0.43553	
Seele	0.38221	0.40231	0.44805	0.45039	
Gott	0.3536	0.35731	0.38528	0.39033	
Rast	0.44234	0.4335	0.43274	0.43527	
Leiche	0.33317	0.37836	0.4552	0.45479	
Geheimnis	0.37787	0.41641	0.41482	0.39538	
Liebe	0.35514	0.4182	0.43304	0.40692	
Schüler	0.22295	0.23492	0.28179	0.2887	
Held	0.40384	0.38243	0.37151	0.37713	
Entschlossenheit	0.27875	0.30967	0.37054	0.37242	
Nachbarin	0.45278	0.49543	0.51368	0.49767	
Insel	0.35768	0.37811	0.32146	0.29505	
Wegweiser	0.26193	0.30938	0.38179	0.3793	
Straßenrand	0.31676	0.38477	0.47324	0.46557	
