word	raw_word_frequency_sdewac	log10_word_frequency_sdewac	raw_lemma_frequency_sdewac	log10_lemma_frequency_sdewac
Mitte	94843	4.977005282788643	95517	4.9800806736690255	
Brille	7048	3.8480658954039915	8469	3.9278321328665817	
Glas	19991	4.300834519161612	26994	4.43126724354921	
Tisch	42401	4.627376099266331	52906	4.723504927595252	
Rechenschaft	4879	3.6883308181122665	4891	3.6893976628212823	
Sinn	90353	4.955942577060931	228454	5.358798766518314	
Öl	24160	4.383096929949094	30033	4.477598716094118	
Raum	121925	5.086092764263604	158143	5.199049973180894	
Million	19517	4.290413062122933	228195	5.358306124323217	
Zelt	7797	3.891927534220675	11437	4.058312121108386	
Naht	738	2.8680563618230415	2061	3.3140779917792127	
Zeremonie	2886	3.4602963267574753	4426	3.6460114095912393	
Altar	6879	3.8375253094496014	9072	3.9577030415488315	
Ding	12947	4.11216914800166	138739	5.142198559876307	
Sache	107148	5.029984069012284	157962	5.1985526238203	
Hütte	8197	3.91365493508662	11609	4.064794811195383	
Rotwein	3676	3.565375502714074	4665	3.668851648082519	
Hose	6915	3.8397921844453293	12073	4.08181520063228	
Hemd	4207	3.6239725120169965	6125	3.78710609303657	
Haar	13163	4.1193548812964265	37427	4.573185017184919	
Mal	141740	5.151492428425498	146191	5.164920636844486	
Ziffer	6897	3.8386602259889413	9899	3.9955913242523535	
Zigarette	4703	3.6723749787460793	11912	4.07598468474412	
Mundwinkel	891	2.949877704036875	1163	3.0655797147284485	
Dämon	3033	3.4818724103106637	8382	3.9233476564978256	
Zivilisation	12286	4.089410510983544	14085	4.148756851321792	
Menschheit	33301	4.5224572751868335	33366	4.523304145460544	
Schulter	10162	4.006979190574277	10156	4.006722692201684	
Zubereitung	5203	3.7162538258960365	6403	3.8063835018241674	
Welpe	787	2.8959747323590648	3997	3.601734148260105	
Ruhe	47878	4.680136000399677	48655	4.687127476892772	
Zufahrt	1789	3.252610340567373	2253	3.3527611917238307	
Strecke	34387	4.536394288637445	45371	4.656778351443576	
Meter	65946	4.8191884582506725	86905	4.93904476390484	
Garage	3851	3.585573518622731	5163	3.712902125047223	
Letzte	5752	3.7598188773748262	4838	3.684665864025861	
Zufriedenheit	8324	3.9203320715395895	8345	3.9214263410152657	
Wärme	16064	4.205853695464925	16148	4.208118740738277	
Zugvogel	107	2.0293837776852097	1351	3.130655349022031	
Jahr	516711	5.713247707120368	1773632	6.248863515750348	
Zukunft	174929	5.242861813457787	175479	5.244225150831384	
Junge	31420	4.497206180703954	63341	4.801684915541319	
Möglichkeit	179164	5.253250749902007	296763	5.472409752747446	
Zunge	8797	3.944334591970782	10341	4.01456253812761	
Hirn	4615	3.6641717053619307	5564	3.7453871213200087	
Knochen	12783	4.106632788920115	13185	4.120080134129453	
S	25546	4.407322907839639	26232	4.418831403661309	
Zusammenhang	133155	5.124357478935977	163232	5.212805301851093	
Zentimeter	11073	4.0442652999153195	13222	4.121297152824946	
Unterfangen	4198	3.623042434246382	4416	3.6450290647211423	
Tod	114826	5.060040236302814	151464	5.180309421886382	
Auto	55133	4.741411624766546	80845	4.907653165373436	
Mimik	2985	3.4749443354653877	2990	3.4756711883244296	
Fremde	9816	3.991934549718948	21322	4.328827939014281	
Waffe	15750	4.19728055812562	54198	4.733983260616065	
Funk	4522	3.655330558009341	4649	3.667359546183087	
Zwei	52522	4.7203412553539605	1148	3.059941888061955	
Atem	9824	3.9922883537970923	10238	4.010215125214227	
Beamter	3997	3.601734148260105	46073	4.663446491849528	
Weile	14163	4.151155255150917	14168	4.151308548182018	
Ente	2474	3.393399695293102	4806	3.6817837664678814	
Kerl	5617	3.749504423876142	8037	3.905093968327871	
Nacht	87781	4.943400524014174	97485	4.988937796022753	
Begegnung	23689	4.374546727938959	33787	4.528749631807849	
Garten	34207	4.5341149876438065	46327	4.665834177482882	
Unterwäsche	1416	3.15106325335375	1422	3.1528995963937474	
Einheit	47104	4.673057788321386	64389	4.808811680289293	
Stufe	20700	4.315970345456917	32347	4.509834008532962	
Neid	5401	3.7324741772811936	5710	3.756636108245848	
Arroganz	3721	3.5706596700215343	3738	3.572639297042813	
Brunnen	8967	3.952647169758943	9585	3.9815921172140816	
Sportplatz	2016	3.3044905277734875	2856	3.455758203104137	
Richtung	106580	5.027675715904893	117956	5.07172003679107	
Zwerg	3120	3.494154594018443	8094	3.9081632000555477	
Ecke	22875	4.359361102738486	31019	4.491627792785056	
Eindruck	61972	4.7921955122049935	75017	4.875159692319408	
Anwesenheit	12495	4.096736260462469	12516	4.097465554474156	
Phantom	1820	3.2600713879850747	2254	3.3529539117100877	
Zwilling	1062	3.0261245167454502	5465	3.7375901662857216	
Zwischenraum	760	2.8808135922807914	1775	3.249198357391113	
Sprung	10796	4.033262875884479	14975	4.175366831061349	
Dunkeln	5045	3.7028611705729295	5055	3.70372115992702	
Felsen	8830	3.9459607035775686	8856	3.9472376078706666	
Licht	78827	4.896674998486796	94428	4.975100791357641	
Vorhang	4269	3.6303261548039467	6460	3.8102325179950842	
Stoff	19289	4.2853097130902675	49985	4.698839696444287	
Diktator	4420	3.645422269349092	7571	3.8791532461842464	
Mittel	101300	5.005609445360281	102715	5.01163387048665	
Angehörige	16355	4.2136505484610005	45451	4.657543442887013	
Spezies	5473	3.7382254481425052	5488	3.7394141026986953	
Form	194767	5.289515374863085	255708	5.407744315439342	
Größe	49144	4.691470502311507	59258	4.77274698964114	
Farbe	34319	4.535534624724186	66802	4.824789465109696	
Spaß	59687	4.775879750843625	68972	4.838672819527731	
Treppe	8798	3.944383957640844	12958	4.112537975609308	
Brücke	23406	4.369327200695435	31582	4.499439629201742	
Turm	11351	4.055034123674614	16841	4.226367875856486	
Wiese	9366	3.971554153446061	16379	4.214287382910401	
Einzige	4554	3.658393026279124	4123	3.6152133348013584	
Einlaß	530	2.724275869600789	2243	3.350829273582968	
Musik	121612	5.084976430830234	122055	5.086555575051295	
Küche	26478	4.422885177830836	28050	4.44793286559218	
Park	20047	4.302049390376251	25904	4.413366831409299	
Aufzug	2938	3.4680517914542377	4738	3.6755950563867463	
Lager	27496	4.439269519129169	35791	4.553773832740794	
Hund	43119	4.63466868029747	86616	4.937598123771113	
Fenster	39772	4.599577430742687	45699	4.659906696804346	
Kronprinz	1065	3.0273496077747564	1833	3.2631624649622166	
Fuß	31697	4.501018159848659	74677	4.873186862710146	
Gast	22660	4.355259905527379	83218	4.920217274069267	
Teich	4686	3.670802284260944	7375	3.8677620246502005	
Profit	6258	3.7964355588101744	10278	4.011908613349155	
Arbeit	371023	5.56940083269718	371932	5.5704635454618385	
Atemzug	2729	3.4360035356698964	3355	3.525692524505011	
Sonne	59370	4.773567048926059	61079	4.785891918069435	
Lebensabend	1012	3.0051805125037805	1061	3.025715383901341	
Schweiß	4089	3.611617110554336	4643	3.666798683666174	
Wahl	86455	4.9367901151300835	116141	5.064985561086079	
Mahlzeit	5000	3.6989700043360187	10946	4.0392554438064865	
Platz	138375	5.1410576338867795	173375	5.238986474081341	
Leid	19284	4.2851971228109695	19890	4.298634783124435	
Nachwuchs	12729	4.104794286486278	15879	4.20082314871093	
Vorwurf	18205	4.260190683269963	33840	4.529430354366986	
Unverständnis	3683	3.566201718854913	3787	3.578295305120826	
Gelegenheit	53565	4.728881109248463	59480	4.774370959849916	
Besuch	57771	4.761709885123603	68041	4.83277068782252	
Ordnung	62827	4.7981463225752155	66198	4.820844868562287	
Unterhaltung	16019	4.204635401383848	16919	4.228374690421907	
Oberfläche	21075	4.32376758329678	24417	4.387692303200921	
Seite	232256	5.365966942184444	367562	5.565330605969337	
Flasche	11945	4.077186154085897	18858	4.275495631401224	
Sekunde	11774	4.07092403147615	37622	4.575441879089856	
Zufall	19321	4.28602960050819	22200	4.346352974450639	
See	27445	4.438463235117633	38721	4.587946564774628	
Elfe	688	2.837588438235511	3322	3.521399628115376	
Mißgeschick	388	2.5888317255942073	1405	3.1476763242410986	
Vergnügen	11017	4.042063349432156	11398	4.056828652637812	
Direktor	21572	4.3338904116161245	24742	4.3934348025629895	
Polizist	5794	3.762978490867743	27309	4.436305797450854	
Finanz	313	2.4955443375464483	12199	4.086324231307385	
Turner	1783	3.2511513431753545	1971	3.2946866242794433	
Art	239862	5.379961450562672	273814	5.4374556496683395	
Denken	44885	4.652101229519464	52774	4.722420012731062	
Studieren	2211	3.344588742578714	2017	3.3047058982127653	
Beton	4169	3.6200318951262975	4314	3.6348801407665263	
Dunst	1656	3.219060332448861	1820	3.2600713879850747	
Müdigkeit	5041	3.7025166974381505	5051	3.7033773685123497	
Ziel	217311	5.337081710298389	290730	5.463489848289935	
Alternative	36575	4.563184334797349	55095	4.741112187400975	
Welt	407451	5.61007538802286	420932	5.62421194284271	
Tätowierung	571	2.756636108245848	1068	3.0285712526925375	
Bahnhof	17035	4.231342137903896	22716	4.356331860011422	
Betrieb	62250	4.794139355767774	125959	5.100229204074654	
Ende	342982	5.535271328480671	348528	5.5422376741327835	
Landung	4939	3.693639026161548	5687	3.754883228252168	
Morgen	45688	4.659802147156715	41812	4.621300941723813	
Überraschung	11937	4.076895193866051	18206	4.260214538395172	
Gedanke	18332	4.263209848572749	107249	5.030393251472085	
Mutter	130030	5.114043562548077	155226	5.190964466347514	
Schuld	33454	4.524448052569276	47618	4.6777711506823785	
Schicksal	33692	4.527526792019501	40177	4.603977505033251	
Bild	133838	5.126579438149694	268246	5.428533254623526	
Anfang	160583	5.205699567113417	174527	5.24186262352408	
Schritt	80902	4.907959258055133	119981	5.079112477310321	
Abend	72168	4.858344669812124	80720	4.9069811532288545	
Luft	63125	4.800201391126718	64944	4.81253903397321	
Schreck	2721	3.4347285417797577	2779	3.443888546777372	
Glied	4110	3.6138418218760693	8970	3.952792443044092	
Baum	21544	4.333326340403454	55073	4.740938734515765	
Fehler	57879	4.762521019022093	65993	4.81949787156308	
Vortag	3990	3.6009728956867484	4672	3.669502834104343	
Koffer	6525	3.814580516010319	7422	3.8705209500127644	
Wahrheit	70158	4.8460772000651655	76127	4.881538715526698	
Antwort	69227	4.840275511567005	69690	4.843170464519898	
Mark	54916	4.739698896350719	55862	4.747116480477317	
Arbeiterin	480	2.681241237375587	8325	3.9203842421783577	
Geräusch	5795	3.7630534402996147	14605	4.164501561309568	
Situation	138830	5.142483323659504	169251	5.228531243343586	
Spektakel	3216	3.5073160400764136	3759	3.5750723257138124	
Ursache	37952	4.57923466734815	74775	4.873756421703356	
Bauchschmerz	26	1.414973347970818	1951	3.2902572693945182	
Übelkeit	4415	3.6449307079135873	4440	3.6473829701146196	
Ärztin	6180	3.790988475088816	10826	4.034468022755043	
Sein	77123	4.887183914801738	10477	4.020236943910808	
Berechtigung	7093	3.850829959848531	7917	3.898560644939712	
Troll	1242	3.0941215958405612	2427	3.385069776331935	
Prinzessin	8149	3.911104317804036	8920	3.950364854376123	
Lösung	78217	4.89330115464307	110215	5.04224070498682	
Vorliebe	5176	3.713994267660644	5176	3.713994267660644	
Straße	93343	4.970081754793282	141469	5.150661283648902	
Land	240584	5.381266741279941	588987	5.7701057092343495	
Weise	194573	5.289082575066188	200668	5.302478122206196	
Flüssigkeit	9914	3.996248914569132	12508	4.0971878725708955	
Korn	4534	3.6564815157904986	6776	3.8309733973226505	
Wille	15584	4.192678939534541	64946	4.812552408196997	
Schlaf	14984	4.175627764367181	16624	4.220735530213102	
Frage	302201	5.480295897110099	489594	5.689836086868595	
Aufmerksamkeit	39746	4.599293428204096	40143	4.603609825420037	
Amt	45749	4.660381605523159	72368	4.859546570401843	
Bitte	17392	4.24034952674222	17035	4.231342137903896	
Buchstabe	4828	3.6837672614253116	17818	4.250858954599295	
Satz	115745	5.063502239263978	142813	5.154767742253127	
Grund	171036	5.233087531186492	262450	5.41904657710416	
Gegend	21750	4.337459261290656	29013	4.46259263800925	
Schauplatz	4453	3.648652695131223	7119	3.8524189929370016	
Dämpfer	990	2.99563519459755	1035	3.0149403497929366	
Abendessen	8569	3.9329301428307897	8811	3.945025201242463	
Heimfahrt	1051	3.021602716028242	1147	3.0595634179012676	
Magen	9726	3.9879342652321585	11033	4.042693618178643	
Bewährungsprobe	1055	3.0232524596337114	1209	3.0824263008607717	
Gang	31304	4.495599834892624	43565	4.639137718370094	
Wald	37997	4.579749308856862	60370	4.780821175853473	
Wind	30669	4.486699615514205	32052	4.505855134068998	
Tornado	655	2.816241299991783	1429	3.1550322287909704	
Anstrengung	8295	3.9188163903603797	25894	4.413199143665641	
Teddy	1516	3.1806992012960347	1760	3.24551266781415	
Pflegefamilie	1393	3.1439511164239633	2361	3.373095987078727	
Herz	53627	4.729383502353932	108951	5.037231220745549	
Strafe	19948	4.299899359546325	27154	4.433833813665981	
Einbruch	6202	3.7925317619013077	8757	3.9423553497076766	
Biß	616	2.7895807121644256	4389	3.6423655808449733	
Anblick	10658	4.027675715904893	11070	4.044147620878723	
Enkelin	1411	3.149527013754348	1556	3.1920095926536702	
Penner	1196	3.077731179652392	1428	3.1547282074401557	
Freundschaft	18336	4.263304600287296	22543	4.353011711033453	
Bearbeiter	1302	3.114610984232173	1668	3.22219604630172	
Gespräch	61569	4.789362099863874	116920	5.067888806685398	
Überfall	4891	3.6893976628212823	8026	3.90449915539782	
Tankstelle	3658	3.563243701140398	6141	3.788239097382168	
Vorlesen	1506	3.177824971864682	1577	3.197831693328903	
Ufer	12229	4.087390944997188	12550	4.098643725817057	
Erlebnis	15113	4.179350682348487	30214	4.480208224873775	
König	55921	4.74757492902158	78500	4.894869656745253	
Stunde	65508	4.816294340353586	65563	4.81665881758969	
Krankheit	50800	4.70586371228392	81601	4.9116954809575475	
Entscheidungsfreiheit	1424	3.1535099893008374	1470	3.167317334748176	
Verhaltensweise	1453	3.1622656142980214	14044	4.147490820793314	
Kleingeld	1225	3.0881360887005513	1240	3.093421685162235	
Winter	34158	4.533492434195192	36116	4.5576996443512146	
Hindernis	6911	3.839540892968969	17003	4.230525554819388	
Pullover	1902	3.279210512601395	2093	3.3207692283386865	
Komplexe	1696	3.229425847920695	2065	3.31492005599242	
Re	4386	3.642068627341504	4827	3.683677298818692	
Bahn	32699	4.514534471280389	32820	4.516138576717075	
Feuer	31517	4.498544871715604	33670	4.527243116388089	
Freund	54926	4.739777972566211	151947	5.181692129909167	
Realität	46084	4.663550167952778	50605	4.704193429194155	
Blitz	4728	3.674677467873199	6531	3.8149796837607566	
Psychiater	4251	3.628491104967123	5043	3.7026889681591335	
Los	14009	4.1464071352870535	11685	4.067628716728246	
Gelächter	2415	3.382917135087531	2466	3.3919930722597127	
Gatte	926	2.9666109866819346	3003	3.477555332198981	
Punkt	68559	4.836064474351997	145198	5.161960634305219	
Feierlichkeit	554	2.74350976472843	3409	3.5326270012288914	
Tal	11676	4.067294086315977	17157	4.234441351266335	
Trauer	12689	4.1034273973827675	12700	4.103803720955957	
Mieter	14679	4.166696470479601	18243	4.2610962581323335	
Krankenhaus	33409	4.523863476506689	57834	4.762183230654824	
Wendung	4053	3.607776603741693	6854	3.8359441000938483	
Bedenken	23051	4.362689770726164	21964	4.34171143503734	
Qual	4343	3.6377898293622293	7130	3.8530895298518657	
Zimmer	52946	4.7238331553113655	58816	4.7694954853699985	
Tropfen	8881	3.9484618700612835	8998	3.954145988829548	
Angst	101652	5.007115927788805	120963	5.0826525492160695	
Reh	1386	3.141763230275788	2689	3.4295908022233017	
Flucht	25313	4.4033436191304505	25739	4.410591669883119	
Griff	16162	4.208495102429837	17379	4.240024783218719	
Handgelenk	1504	3.1772478362556233	2307	3.3630475945210936	
Gebüsch	1907	3.280350693046006	2271	3.3562171342197353	
Erkenntnis	33957	4.5309293146403204	77559	4.889632200905873	
Elf	4517	3.654850090561394	2986	3.4750898033890065	
Krieg	139153	5.143492573727203	200931	5.303046945659785	
Abteil	990	2.99563519459755	1336	3.125806458139527	
Unglück	9940	3.997386384397313	11218	4.049915435673498	
Grinsen	2255	3.3531465462139796	2267	3.3554515201265174	
Schlüssel	21422	4.33086001497464	22871	4.35928515389347	
Zustand	53946	4.731959248048951	73052	4.86363211044244	
Konzentration	21274	4.327849154905208	24207	4.383940970186208	
Intensivstation	2003	3.3016809492935764	2356	3.372175286115064	
Böse	12181	4.085682943194615	25794	4.411518695500651	
Beruf	45288	4.655983141876537	66028	4.819728142614241	
Gepäck	7625	3.8822398480188234	7958	3.9008039348103694	
Brust	14240	4.153509989300837	16233	4.2103987886522445	
Vergangenheit	75278	4.876668072155358	75603	4.878539029067285	
Nähe	72356	4.85947455009015	72983	4.863221711271265	
Wissen	82407	4.915964104078813	93732	4.971887883853291	
Erwachen	2306	3.36285930295868	2602	3.4153072922255676	
Gegenteil	39686	4.598637328046221	40297	4.605272715323677	
Fall	273190	5.4364647981416185	324844	5.511674849580821	
Glück	68886	4.838130967327805	71168	4.852284761229926	
Preis	83535	4.92186847694544	125901	5.10002917961348	
Gebäude	52094	4.7167877056997725	73967	4.869038004670991	
Auskunft	23457	4.370272467849528	32440	4.5110808455391185	
Band	69689	4.8431642326703095	101417	5.006110759606494	
Krönung	3120	3.494154594018443	3197	3.504742636271688	
Schriftzeichen	1759	3.245265839457461	1764	3.246498580795801	
Herr	128319	5.108290966462422	254699	5.406027239838627	
Mädchen	84772	4.928252429455735	89168	4.950209025712125	
Gefallen	5944	3.774078800752519	5751	3.759743367597725	
Schlimmste	3298	3.5182506513085	3864	3.587037117743456	
Ritual	4426	3.6460114095912393	11353	4.055110637854146	
Zusammentreffen	2982	3.474507639116976	3223	3.5082603055123345	
Kraft	112845	5.052482320874869	170361	5.231370180669187	
Angebot	75410	4.87742894078822	138187	5.140467188524263	
Architekturbüro	723	2.859138297294531	1176	3.0704073217401198	
Heimat	39825	4.600155784473169	39932	4.6013210624410625	
Sand	17115	4.2333769034738955	18901	4.276484782109383	
Vergleich	86704	4.938039133668315	94284	4.97443799919252	
Reise	53637	4.729464479099748	53765	4.730499650139442	
Tatsache	64744	4.811199527384495	84306	4.925858484164054	
Mama	9825	3.9923325590474645	10642	4.027023254588704	
Körper	95884	4.9817461432349175	116131	5.06494816574939	
Jacke	4292	3.6326597132939136	5561	3.7451528950769	
Höhe	127589	5.105813233591818	135022	5.130404536644439	
Tiefe	19031	4.279461609257673	23717	4.375059753585813	
Freude	57013	4.755973893997757	61213	4.786843664444761	
Problem	140212	5.146785184178163	339915	5.531370329847815	
Schwerkraft	2742	3.438067450453494	2755	3.4401216031878037	
Karte	30723	4.48746362085923	62263	4.7942300423352044	
Pfütze	793	2.8992731873176036	1676	3.2242740142942576	
Hilfe	175065	5.243199328115247	191278	5.28166502215464	
Mut	32011	4.505299241394939	33851	4.529571502801578	
Chance	79273	4.899125293904164	131915	5.12029418179988	
Bessere	1713	3.2337573629655103	5422	3.734159513244467	
Film	137868	5.139463475485971	208194	5.3184682093030515	
Ausdruck	66192	4.820805503551437	73016	4.863418037522087	
Alptraum	2869	3.4577305482459986	7105	3.8515640822634887	
Wirklichkeit	55738	4.746151381231483	57230	4.757623745908389	
Anhänger	20822	4.318522442141257	26114	4.416873399776797	
Konto	12596	4.1002326519645065	17394	4.2403994657386415	
Monat	52004	4.716036749617809	228858	5.359566098302009	
Haß	5611	3.749040268703457	19646	4.293274139710753	
Dirigent	2798	3.446847710155809	5235	3.718916686014861	
Inhalt	58307	4.765720696763816	115460	5.062431553162612	
Flur	6145	3.788521887222473	8445	3.9265996539070276	
Teppich	5656	3.752509400788843	8760	3.9425041061680806	
Hauptgrund	2820	3.450249108319361	3806	3.5804687839510017	
Herrscher	9833	3.992686039162128	12401	4.0934567074986035	
Vorschlag	35929	4.555445129797869	79086	4.898099610414565	
Sprache	112543	5.051318487733563	135848	5.133053248971373	
Höhepunkt	23671	4.374216605428374	29323	4.467208400375476	
Persönlichkeit	23808	4.376722913865785	37738	4.576778880143176	
Kleine	16096	4.206717963375834	19350	4.28668096935493	
Miene	2235	3.3492775274679554	2824	3.450864692379766	
Lohn	14250	4.153814864344529	25921	4.413651752063699	
Dankbarkeit	4719	3.6738499773429494	4727	3.6745856023029138	
Geruch	8446	3.9266510770888887	11237	4.050650380863914	
Minute	30014	4.477323878202748	145225	5.1620413851482665	
Gute	25644	4.408985768211695	33389	4.523603412136569	
Nagel	4938	3.6935510855959137	9220	3.9647309210536292	
Name	49716	4.696496179345918	208420	5.31893939156067	
Melodie	4825	3.6834973176798114	9344	3.9705328297683242	
Plan	34984	4.543869464336801	73087	4.8638401357766385	
Rahmen	217215	5.336889812594036	219885	5.342195603897298	
Schmerz	21235	4.3270522653266985	50930	4.706973676176178	
Schnee	15140	4.180125875164054	15503	4.19041574703329	
Tiger	5362	3.7293268096468606	6088	3.7844746437625165	
Tante	7552	3.8780619812900126	8550	3.931966114728173	
Gefolgsleute	858	2.9334872878487053	1223	3.0874264570362855	
Ton	24033	4.380807986456165	35139	4.545789398005562	
